Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
OLD-TAU,14,-21.30092041,-60.86001002,61.36783063,-0.811181406,-46.13249602,71.98093063,OLD_TAU,OLD-TAU-14,OLD-14_TAU-14,HOT_LAB_ZAP_EVE_FOG_TRY,HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_EVE-OLD-14_FOG-OLD-14_LAB-TAU-13_TAU-TRY-6,HOT-OLD_LAB-OLD_OLD-ZAP_EVE-OLD_FOG-OLD_TAU-TRY_LAB-TAU,HOT-13_LAB-13_ZAP-13_EVE-14_FOG-14_LAB-13_TRY-6,0,in_to_out,mid
FOG-OLD,14,-11.92286041,-60.86001002,71.98093063,-0.811181406,-24.93838202,78.58385063,FOG_OLD,FOG-OLD-14,FOG-14_OLD-14,TRY_RIB_SOY_LAW_HOT_LAB_TAU_ZAP_EVE,FOG-RIB-14_FOG-LAW-14_FOG-TRY-6_FOG-SOY-6_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_OLD-TAU-14_EVE-OLD-14,FOG-TRY_FOG-RIB_FOG-SOY_FOG-LAW_HOT-OLD_LAB-OLD_OLD-TAU_OLD-ZAP_EVE-OLD,RIB-14_LAW-14_TRY-6_SOY-6_HOT-13_LAB-13_ZAP-13_TAU-14_EVE-14,0,outer,mid
LAW-RIB,14,0.777001594,-26.85873602,65.73183363,10.22523459,-2.205857017,78.78930963,LAW_RIB,LAW-RIB-14,LAW-14_RIB-14,EVE_FOG_JUG_IRE,EVE-LAW-14_FOG-LAW-14_FOG-RIB-14_IRE-RIB-14_JUG-RIB-6,EVE-LAW_FOG-LAW_FOG-RIB_JUG-RIB_IRE-RIB,EVE-14_FOG-14_FOG-14_IRE-14_JUG-6,0,in_to_out,mid
FOG-RIB,14,-11.92286041,-24.93838202,78.58385063,0.777001594,-2.205857017,78.78930963,FOG_RIB,FOG-RIB-14,FOG-14_RIB-14,TRY_SOY_LAW_OLD_JUG_IRE,FOG-LAW-14_FOG-OLD-14_FOG-TRY-6_FOG-SOY-6_IRE-RIB-14_LAW-RIB-14_JUG-RIB-6,FOG-TRY_FOG-SOY_FOG-LAW_FOG-OLD_JUG-RIB_IRE-RIB_LAW-RIB,LAW-14_OLD-14_TRY-6_SOY-6_IRE-14_LAW-14_JUG-6,0,outer,mid
FOG-LAW,14,-11.92286041,-26.85873602,65.73183363,10.22523459,-24.93838202,78.58385063,FOG_LAW,FOG-LAW-14,FOG-14_LAW-14,TRY_RIB_SOY_OLD_EVE,FOG-RIB-14_FOG-OLD-14_FOG-TRY-6_FOG-SOY-6_EVE-LAW-14_LAW-RIB-14,FOG-TRY_FOG-RIB_FOG-SOY_FOG-OLD_EVE-LAW_LAW-RIB,RIB-14_OLD-14_TRY-6_SOY-6_EVE-14_RIB-14,0,in_to_out,mid
IRE-RIB,14,0.777001594,-3.166204017,68.58317463,36.45626059,-2.205857017,78.78930963,IRE_RIB,IRE-RIB-14,IRE-14_RIB-14,AHI_ERA_YES_MAC_EVE_GIG_FOG_JUG_LAW,ERA-IRE-14_EVE-IRE-14_GIG-IRE-14_AHI-IRE-7_IRE-YES-7_IRE-MAC-7_FOG-RIB-14_LAW-RIB-14_JUG-RIB-6,AHI-IRE_ERA-IRE_IRE-YES_IRE-MAC_EVE-IRE_GIG-IRE_FOG-RIB_JUG-RIB_LAW-RIB,ERA-14_EVE-14_GIG-14_AHI-7_YES-7_MAC-7_FOG-14_LAW-14_JUG-6,0,outer,mid
GIG-IRE,14,36.45626059,-21.83033602,51.21567163,41.95506859,-3.166204017,68.58317463,GIG_IRE,GIG-IRE-14,GIG-14_IRE-14,AIR_FAX_AHI_ERA_YES_MAC_EVE_RIB,AIR-GIG-11_FAX-GIG-11_ERA-IRE-14_EVE-IRE-14_IRE-RIB-14_AHI-IRE-7_IRE-YES-7_IRE-MAC-7,AIR-GIG_FAX-GIG_AHI-IRE_ERA-IRE_IRE-YES_IRE-MAC_EVE-IRE_IRE-RIB,AIR-11_FAX-11_ERA-14_EVE-14_RIB-14_AHI-7_YES-7_MAC-7,0,in_to_out,right
ERA-IRE,14,13.73802359,-3.166204017,62.12956063,36.45626059,14.67203198,68.58317463,ERA_IRE,ERA-IRE-14,ERA-14_IRE-14,JUG_AHI_YES_MAC_EVE_GIG_RIB,ERA-JUG-6_EVE-IRE-14_GIG-IRE-14_IRE-RIB-14_AHI-IRE-7_IRE-YES-7_IRE-MAC-7,ERA-JUG_AHI-IRE_IRE-YES_IRE-MAC_EVE-IRE_GIG-IRE_IRE-RIB,JUG-6_EVE-14_GIG-14_RIB-14_AHI-7_YES-7_MAC-7,0,in_to_out,right
EVE-LAW,14,10.22523459,-41.28148002,65.73183363,30.91119559,-26.85873602,69.58921863,EVE_LAW,EVE-LAW-14,EVE-14_LAW-14,OLD_IRE_LIE_FAX_FOG_RIB,EVE-OLD-14_EVE-IRE-14_EVE-LIE-14_EVE-FAX-14_FOG-LAW-14_LAW-RIB-14,EVE-OLD_EVE-IRE_EVE-LIE_EVE-FAX_FOG-LAW_LAW-RIB,OLD-14_IRE-14_LIE-14_FAX-11_FOG-14_RIB-14,0,in_to_out,right
EVE-IRE,14,30.91119559,-41.28148002,68.58317463,36.45626059,-3.166204017,69.58921863,EVE_IRE,EVE-IRE-14,EVE-14_IRE-14,LAW_OLD_LIE_FAX_AHI_ERA_YES_MAC_GIG_RIB,EVE-LAW-14_EVE-OLD-14_EVE-LIE-14_EVE-FAX-14_ERA-IRE-14_GIG-IRE-14_IRE-RIB-14_AHI-IRE-7_IRE-YES-7_IRE-MAC-7,EVE-LAW_EVE-OLD_EVE-LIE_EVE-FAX_AHI-IRE_ERA-IRE_IRE-YES_IRE-MAC_GIG-IRE_IRE-RIB,LAW-14_OLD-14_LIE-14_FAX-11_ERA-14_GIG-14_RIB-14_AHI-7_YES-7_MAC-7,0,outer,right
