# edge,length (in)
ACE-WET,46.3
ACE-BRO,34.8
ACE-EYE,34.5
ACE-DUI,43.5
ACE-IVY,48.4
ACE-FIX,51.4
ACE-YES,44.3
ACE-SUN,32.5
ACE-POP,33.4
ACE-EON,41.3
ACE-NOM,54.7
ACE-HIT,34.8
ACT-BUG,47.4
ACT-ASH,29.6
ACT-LAM,30.8
ACT-TRY,29.5
ACT-DUH,32.2
ACT-NAN,48.8
ACT-TAU,42.6
ACT-SOY,42.8
ACT-HAM,41.1
ACT-LAX,39.8
ADO-JOB,33.5
ADO-DUB,34.75
ADO-BOA,32.5
ADO-WET,48.4
ADO-REF,47.2
ADO-TOY,31.8
ADO-NIL,42.3
ADO-NAY,34.0
ADO-WAR,34.9
ADO-HOW,46.6
ADO-ELF,51.9
ADO-PLY,53.3
AGE-KIT,40.125
AGE-BED,45.5
AGE-CHI,32.5
AGE-DOG,31.4
AGE-COY,46.2
AGE-BAR,31.1
AGE-SIR,44.1
AGE-CUP,45.0
AGE-ONO,36.5
AGE-ELK,44.0
AGO-ALA,25.9
AGO-MIX,36.6
AGO-OAR,33.5
AGO-TAX,39.7
AGO-MOM,37.7
AGO-FLY,35.3
AGO-OIL,37.4
AGO-GUT,39.8
AHI-NIL,31.0
AHI-YES,33.1
AHI-ERA,31.3
AHI-IRE,37.4
AHI-JUG,41.7
AHI-EON,37.3
AIM-MOM,32.25
AIM-LID,34.625
AIM-EGO,29.6
AIM-WAX,35.4
AIM-MIX,41.7
AIR-COW,34.5
AIR-GIG,31.6
AIR-ODD,30.1
AIR-MAC,32.7
AIR-FAX,33.5
AIR-FIX,34.7
ALA-OIL,33.75
ALA-INK,28.4
ALA-FLY,37.1
ALA-GUT,34.1
ALA-MIX,39.9
ALL-PRO,28.5
ALL-GOO,34.0
ALL-EGG,33.6
ALL-SAD,37.2
ALL-RUG,31.8
ALL-PIG,35.6
AMP-ROB,36.0
AMP-SEX,33.0
AMP-YAY,36.5
AMP-SAW,38.6
AMP-CAB,30.9
ARM-ELF,32.375
ARM-BRO,33.125
ARM-BIO,33.5
ARM-WET,34.125
ARM-DUB,30.3
ARM-NOM,31.4
ART-COY,30.0
ART-FIG,42.3
ART-KIT,47.3
ART-ASH,39.3
ART-MAD,38.1
ART-LAX,46.1
ART-NOR,43.4
ART-BUG,33.3
ASH-LAM,30.0
ASH-LAX,33.7
ASH-HAM,42.3
ASH-BUG,36.7
ASK-FRO,33.375
ASK-ORC,33.625
ASK-GUN,34.2
ASK-TUB,28.8
ASK-OFF,30.2
ASK-TAG,35.4
BAH-ETA,32.875
BAH-CIS,33.0
BAH-BOY,33.875
BAH-WIN,29.6
BAH-BAM,36.3
BAM-JAR,44.8
BAM-YAY,56.7
BAM-HAY,35.5
BAM-ETA,51.9
BAM-CIS,52.7
BAM-WIN,34.4
BAR-CUP,33.375
BAR-SIR,33.375
BAR-FLU,31.1
BAR-DOG,31.5
BAR-ONO,39.7
BED-ICE,32.75
BED-DOG,34.0
BED-COY,48.0
BED-MAD,32.3
BED-SAY,43.6
BED-GIN,49.9
BED-CHI,32.7
BED-PAW,43.0
BED-CUP,49.3
BED-LAX,43.7
BED-DAY,43.4
BIO-ELF,32.125
BIO-JOY,33.25
BIO-NOM,33.5
BIO-RAD,31.4
BIO-SPY,36.7
BOA-REF,33.25
BOA-WAR,31.8
BOA-SHY,39.4
BOA-NAY,36.2
BOA-HOW,32.9
BOX-HUG,33.375
BOX-GYM,33.5
BOX-LID,35.75
BOX-EGO,29.8
BOX-VAN,34.1
BOY-FOX,33.5
BOY-ETA,33.875
BOY-TAG,33.8
BOY-CIS,31.1
BOY-ORC,33.3
BRO-WET,31.6
BRO-EON,41.2
BRO-HIT,28.3
BRO-NOM,35.5
BUG-YAK,35.625
BUG-LAB,35.7
BUG-TAU,51.0
BUG-LAM,35.2
BUG-ZAP,49.0
BUG-NOR,49.4
BUG-LAX,55.2
BUG-COY,47.7
BUG-GOO,53.2
BUG-FIG,36.0
CAB-ROB,32.375
CAB-DAD,49.0
CAB-YAY,49.1
CAB-OAK,31.4
CAB-GET,45.6
CAB-SEX,43.7
CHI-MAD,31.2
CHI-COY,33.4
CHI-DOG,29.7
CHI-KIT,35.4
CIS-ORC,34.25
CIS-ETA,45.3
CIS-TAG,44.6
CIS-OFF,53.5
COP-WOW,43.3
COP-USE,29.6
COP-NEW,30.6
COP-TAT,50.2
COP-GET,48.2
COP-ELK,44.3
COW-KEG,33.75
COW-WAS,33.875
COW-ODD,36.25
COW-LIE,49.8
COW-LUG,50.3
COW-FIX,52.4
COW-EAR,52.3
COW-GIG,46.0
COW-TAR,45.4
COW-ZOO,35.0
COW-FAX,32.6
COY-LAX,46.1
COY-NOR,45.3
COY-ELK,48.7
COY-KIT,32.3
COY-MAD,33.5
CUP-VAN,32.75
CUP-DOG,33.25
CUP-DAY,45.7
CUP-FLU,30.8
CUP-HUG,42.2
CUP-SIR,49.6
CUP-GYM,51.1
CUP-PAW,31.9
DAD-GEL,35.25
DAD-FOR,35.8
DAD-EAR,54.1
DAD-RUG,48.8
DAD-PIG,50.2
DAD-ROB,34.2
DAD-SEX,50.4
DAD-EGG,33.6
DAD-GET,55.7
DAD-OAK,35.7
DAD-MOO,35.2
