Module,Bar,Strip,Receiver,Channel,Strip start node
1,ONO-TAT,0,0,0,ONO
1,ELK-TAT,0,0,0,ONO
1,ELK-WIG,0,0,0,ONO
1,KEY-WIG,0,0,0,ONO
1,FIG-KEY,0,0,0,ONO
1,FIG-NOR,0,0,0,ONO
1,NOR-WIG,0,0,0,ONO
1,USE-WIG,0,0,0,ONO
1,ONO-USE,0,0,0,ONO
1,KIT-ONO,0,0,0,ONO
1,TAT-USE,1,0,1,TAT
1,NEW-USE,1,0,1,TAT
1,HIP-NEW,1,0,1,TAT
1,FOR-HIP,1,0,1,TAT
1,FOR-GET,1,0,1,TAT
1,GET-RUG,1,0,1,TAT
1,ALL-RUG,1,0,1,TAT
1,ALL-PRO,1,0,1,TAT
1,GOO-PRO,1,0,1,TAT
1,GOO-SAD,1,0,1,TAT
1,KEY-SAD,1,0,1,TAT
1,DAD-FOR,2,1,0,DAD
1,EGG-FOR,2,1,0,DAD
1,ALL-EGG,2,1,0,DAD
1,ALL-SAD,2,1,0,DAD
1,RUG-SAD,2,1,0,DAD
1,FOR-RUG,2,1,0,DAD
1,FOR-OAK,2,1,0,DAD
1,GET-OAK,2,1,0,DAD
1,CAB-GET,2,1,0,DAD
1,DAD-GET,3,1,1,DAD
1,COP-GET,3,1,1,DAD
1,COP-TAT,3,1,1,DAD
1,SIR-TAT,3,1,1,DAD
1,FLU-SIR,3,1,1,DAD
1,BAR-FLU,3,1,1,DAD
1,BAR-SIR,3,1,1,DAD
1,ONO-SIR,3,1,1,DAD
1,BAR-ONO,3,1,1,DAD
1,GET-HIP,4,2,0,HIP
1,GET-NEW,4,2,0,HIP
1,NEW-WOW,4,2,0,HIP
1,COP-WOW,4,2,0,HIP
1,COP-ELK,4,2,0,HIP
1,ELK-KIT,4,2,0,HIP
1,KIT-NOR,4,2,0,HIP
1,KEY-NOR,4,2,0,HIP
1,HIP-SAD,5,2,1,HIP
1,SAD-WOW,5,2,1,HIP
1,WIG-WOW,5,2,1,HIP
1,KIT-WIG,5,2,1,HIP
1,AGE-KIT,5,2,1,HIP
1,AGE-SIR,5,2,1,HIP
1,ELK-SIR,5,2,1,HIP
1,ELK-USE,5,2,1,HIP
1,COP-USE,5,2,1,HIP
1,COP-NEW,5,2,1,HIP
2,AGE-BAR,6,3,0,AGE
2,BAR-DOG,6,3,0,AGE
2,DOG-PAW,6,3,0,AGE
2,BED-PAW,6,3,0,AGE
2,BED-CHI,6,3,0,AGE
2,CHI-MAD,6,3,0,AGE
2,BED-MAD,6,3,0,AGE
2,BED-ICE,6,3,0,AGE
2,ICE-LAX,6,3,0,AGE
2,ASH-LAX,6,3,0,AGE
2,ASH-HAM,6,3,0,AGE
2,AGE-DOG,7,3,1,AGE
2,CHI-DOG,7,3,1,AGE
2,CHI-KIT,7,3,1,AGE
2,ART-KIT,7,3,1,AGE
2,ART-MAD,7,3,1,AGE
2,LAX-MAD,7,3,1,AGE
2,HAM-LAX,7,3,1,AGE
2,HAM-ICE,7,3,1,AGE
2,ICE-SAY,7,3,1,AGE
2,DAY-SAY,7,3,1,AGE
2,DAY-ZIG,7,3,1,AGE
2,BOX-HUG,8,4,0,HUG
2,BOX-GYM,8,4,0,HUG
2,GYM-OAR,8,4,0,HUG
2,OAR-ZIG,8,4,0,HUG
2,SAY-ZIG,8,4,0,HUG
2,SAY-WIZ,8,4,0,HUG
2,WIZ-ZZZ,8,4,0,HUG
2,GIN-ZZZ,8,4,0,HUG
2,GIN-SAY,8,4,0,HUG
2,PAW-SAY,8,4,0,HUG
2,HUG-LID,9,4,1,HUG
2,GYM-LID,9,4,1,HUG
2,CUP-GYM,9,4,1,HUG
2,CUP-VAN,9,4,1,HUG
2,FLU-VAN,9,4,1,HUG
2,FLU-HUG,9,4,1,HUG
2,HUG-SIR,9,4,1,HUG
2,CUP-SIR,9,4,1,HUG
2,BAR-CUP,10,5,0,BAR
2,CUP-HUG,10,5,0,BAR
2,GYM-HUG,10,5,0,BAR
2,GYM-VAN,10,5,0,BAR
2,PAW-VAN,10,5,0,BAR
2,GYM-PAW,10,5,0,BAR
2,EGO-GYM,10,5,0,BAR
2,BOX-EGO,10,5,0,BAR
2,BOX-VAN,10,5,0,BAR
2,HUG-VAN,10,5,0,BAR
2,CUP-PAW,11,5,1,CUP
2,PAW-ZIG,11,5,1,CUP
2,TAX-ZIG,11,5,1,CUP
2,TAX-WIZ,11,5,1,CUP
2,GIN-WIZ,11,5,1,CUP
2,GIN-ICE,11,5,1,CUP
2,ICE-MAD,11,5,1,CUP
2,COY-MAD,11,5,1,CUP
2,COY-KIT,11,5,1,CUP
3,BOA-HOW,12,6,0,BOA
3,HOW-REF,12,6,0,BOA
3,DRY-REF,12,6,0,BOA
3,DRY-SHY,12,6,0,BOA
3,HOW-SHY,12,6,0,BOA
3,BOA-SHY,13,6,1,BOA
3,INK-SHY,13,6,1,BOA
3,GUT-INK,13,6,1,BOA
3,GUT-WAX,13,6,1,BOA
3,AIM-WAX,13,6,1,BOA
3,AIM-MIX,13,6,1,BOA
3,GUT-MIX,13,6,1,BOA
3,GUT-HEX,13,6,1,BOA
3,HEX-WAX,13,6,1,BOA
3,SIP-WAX,13,6,1,BOA
3,BOX-LID,14,7,0,BOX
3,AIM-LID,14,7,0,BOX
3,AIM-EGO,14,7,0,BOX
3,EGO-MOM,14,7,0,BOX
3,LID-MOM,14,7,0,BOX
3,EGO-LID,14,7,0,BOX
3,EGO-OAR,14,7,0,BOX
3,AGO-OAR,14,7,0,BOX
3,AGO-ALA,14,7,0,BOX
3,ALA-MIX,14,7,0,BOX
3,MIX-WAX,14,7,0,BOX
3,LID-WAX,15,7,1,LID
3,MOM-WAX,15,7,1,LID
3,MIX-MOM,15,7,1,LID
3,AGO-MIX,15,7,1,LID
3,AGO-TAX,15,7,1,LID
3,FLY-TAX,15,7,1,LID
3,ALA-FLY,15,7,1,LID
3,ALA-INK,15,7,1,LID
3,INK-RUM,15,7,1,LID
3,MAY-RUM,15,7,1,LID
3,HEX-MAY,15,7,1,LID
3,MIX-OAR,16,8,0,MIX
3,FLY-OAR,16,8,0,MIX
3,FLY-WIZ,16,8,0,MIX
3,VOW-WIZ,16,8,0,MIX
3,FLY-VOW,16,8,0,MIX
3,DRY-FLY,16,8,0,MIX
3,DRY-OIL,16,8,0,MIX
3,ALA-OIL,16,8,0,MIX
3,HEX-MIX,17,8,1,MIX
3,HEX-SIP,17,8,1,MIX
3,RUM-SIP,17,8,1,MIX
3,OIL-RUM,17,8,1,MIX
3,INK-OIL,17,8,1,MIX
3,INK-MAY,17,8,1,MIX
3,MAY-SIP,17,8,1,MIX
3,GUT-SIP,17,8,1,MIX
3,GUT-RUM,17,8,1,MIX
3,RUM-SHY,17,8,1,MIX
4,BAM-YAY,18,9,0,BAM
4,TAR-YAY,18,9,0,BAM
4,TAR-WHY,18,9,0,BAM
4,KEG-WHY,18,9,0,BAM
4,COW-KEG,18,9,0,BAM
4,COW-ODD,18,9,0,BAM
4,KEG-ODD,18,9,0,BAM
4,KEG-WAS,18,9,0,BAM
4,TAR-WAS,18,9,0,BAM
4,PHI-TAR,18,9,0,BAM
4,PHI-WAS,18,9,0,BAM
4,JAR-SAW,19,9,1,JAR
4,AMP-SAW,19,9,1,JAR
4,AMP-CAB,19,9,1,JAR
4,CAB-OAK,19,9,1,JAR
4,OAK-ROB,19,9,1,JAR
4,ROB-SEX,19,9,1,JAR
4,CAB-SEX,19,9,1,JAR
4,CAB-DAD,19,9,1,JAR
4,DAD-ROB,19,9,1,JAR
4,CAB-ROB,19,9,1,JAR
4,EAR-PHI,20,10,0,EAR
4,PHI-SAW,20,10,0,EAR
4,SAW-WHY,20,10,0,EAR
4,PAY-WHY,20,10,0,EAR
4,PAY-TUX,20,10,0,EAR
4,LUG-TUX,20,10,0,EAR
4,LUG-WHY,20,10,0,EAR
4,JAR-WHY,20,10,0,EAR
4,JAR-WIN,20,10,0,EAR
4,ETA-WIN,20,10,0,EAR
4,ETA-JAR,20,10,0,EAR
4,DAD-EAR,21,10,1,EAR
4,DAD-MOO,21,10,1,EAR
4,GEL-MOO,21,10,1,EAR
4,GEL-SEX,21,10,1,EAR
4,PHI-SEX,21,10,1,EAR
4,GEL-PHI,21,10,1,EAR
4,GEL-ROB,21,10,1,EAR
4,AMP-ROB,21,10,1,EAR
4,AMP-YAY,21,10,1,EAR
4,SAW-YAY,21,10,1,EAR
4,HAY-YAY,22,11,0,HAY
4,SEX-YAY,22,11,0,HAY
4,SAW-SEX,22,11,0,HAY
4,HAY-SAW,22,11,0,HAY
4,HAY-WIN,22,11,0,HAY
4,PAY-WIN,22,11,0,HAY
4,ETA-PAY,22,11,0,HAY
4,ETA-LUG,22,11,0,HAY
4,LUG-ODD,22,11,0,HAY
4,BAM-HAY,23,11,1,HAY
4,BAM-JAR,23,11,1,HAY
4,JAR-YAY,23,11,1,HAY
4,CAB-YAY,23,11,1,HAY
5,CIS-ORC,24,12,0,CIS
5,ASK-ORC,24,12,0,CIS
5,ASK-TAG,24,12,0,CIS
5,ORC-TAG,24,12,0,CIS
5,OFF-ORC,24,12,0,CIS
5,CIS-OFF,24,12,0,CIS
5,BAH-CIS,24,12,0,CIS
5,BAH-ETA,24,12,0,CIS
5,BAM-ETA,24,12,0,CIS
5,BAM-WIN,24,12,0,CIS
5,BAH-WIN,24,12,0,CIS
5,CIS-ETA,25,12,1,CIS
5,ETA-FOX,25,12,1,CIS
5,FOX-TAG,25,12,1,CIS
5,TAG-TUB,25,12,1,CIS
5,SKY-TUB,25,12,1,CIS
5,SKY-SUN,25,12,1,CIS
5,ACE-SUN,25,12,1,CIS
5,ACE-BRO,25,12,1,CIS
5,BAH-BAM,26,13,0,BAM
5,BAH-BOY,26,13,0,BAM
5,BOY-FOX,26,13,0,BAM
5,FOX-TUX,26,13,0,BAM
5,GAS-TUX,26,13,0,BAM
5,FIX-GAS,26,13,0,BAM
5,EYE-FIX,26,13,0,BAM
5,EYE-SUN,26,13,0,BAM
5,HIT-SUN,26,13,0,BAM
5,DIG-HIT,26,13,0,BAM
5,DIG-DUI,26,13,0,BAM
5,DUI-GUN,26,13,0,BAM
5,BAM-CIS,27,13,1,BAM
5,BOY-CIS,27,13,1,BAM
5,BOY-ORC,27,13,1,BAM
5,EYE-POP,28,14,0,POP
5,EYE-GAS,28,14,0,POP
5,GAS-ODD,28,14,0,POP
5,AIR-ODD,28,14,0,POP
5,AIR-FIX,28,14,0,POP
5,FIX-POP,28,14,0,POP
5,ACE-POP,28,14,0,POP
5,GAS-IVY,29,14,1,GAS
5,IVY-SUN,29,14,1,GAS
5,DUI-SUN,29,14,1,GAS
5,DUI-SKY,29,14,1,GAS
5,FOX-SKY,29,14,1,GAS
5,FOX-IVY,29,14,1,GAS
5,IVY-TAG,29,14,1,GAS
5,OFF-TAG,29,14,1,GAS
6,OFF-WHO,30,15,0,OFF
6,GUN-WHO,30,15,0,OFF
6,ASK-GUN,30,15,0,OFF
6,ASK-FRO,30,15,0,OFF
6,FRO-RAW,30,15,0,OFF
6,LEG-RAW,30,15,0,OFF
6,LEG-WHO,30,15,0,OFF
6,RAW-WHO,30,15,0,OFF
6,GUN-RAW,30,15,0,OFF
6,ASK-OFF,31,15,1,OFF
