Module,Bar,Strip,Receiver,Channel,Strip start node
1,TAT-USE,0,0,0,TAT
1,ONO-USE,0,0,0,TAT
1,ONO-SIR,0,0,0,TAT
1,BAR-SIR,0,0,0,TAT
1,ELK-TAT,1,0,1,TAT
1,ELK-SIR,1,0,1,TAT
1,SIR-TAT,1,0,1,TAT
1,COP-TAT,2,0,2,TAT
1,COP-WOW,2,0,2,TAT
1,WIG-WOW,2,0,2,TAT
1,USE-WIG,2,0,2,TAT
1,BAR-ONO,3,1,0,ONO
1,BAR-FLU,3,1,0,ONO
1,FLU-SIR,3,1,0,ONO
1,AGE-SIR,3,1,0,ONO
1,ONO-TAT,4,1,1,ONO
1,KIT-ONO,5,1,2,ONO
1,AGE-KIT,5,1,2,ONO
1,DAD-FOR,6,2,0,FOR
1,DAD-GET,6,2,0,FOR
1,GET-HIP,6,2,0,FOR
1,HIP-NEW,6,2,0,FOR
1,FOR-HIP,7,2,1,FOR
1,HIP-SAD,7,2,1,FOR
1,RUG-SAD,7,2,1,FOR
1,GET-RUG,7,2,1,FOR
1,FOR-OAK,8,2,2,FOR
1,GET-OAK,8,2,2,FOR
1,FOR-GET,8,2,2,FOR
1,FOR-RUG,8,2,2,FOR
1,ALL-RUG,8,2,2,FOR
1,COP-USE,9,3,0,COP
1,NEW-USE,9,3,0,COP
1,COP-NEW,9,3,0,COP
1,COP-ELK,9,3,0,COP
1,ELK-KIT,9,3,0,COP
1,COP-GET,10,3,1,COP
1,CAB-GET,10,3,1,COP
1,ALL-SAD,11,4,0,ALL
1,SAD-WOW,11,4,0,ALL
1,NEW-WOW,11,4,0,ALL
1,GET-NEW,11,4,0,ALL
1,ALL-PRO,12,4,1,ALL
1,GOO-PRO,12,4,1,ALL
1,GOO-SAD,12,4,1,ALL
1,KEY-SAD,12,4,1,ALL
1,KEY-NOR,12,4,1,ALL
1,ALL-EGG,13,4,2,ALL
1,EGG-FOR,13,4,2,ALL
1,KIT-WIG,14,5,0,WIG
1,KIT-NOR,14,5,0,WIG
1,FIG-NOR,14,5,0,WIG
1,FIG-KEY,14,5,0,WIG
1,ELK-WIG,15,5,1,WIG
1,ELK-USE,15,5,1,WIG
1,KEY-WIG,16,5,2,WIG
2,GIN-ICE,17,6,0,ICE
2,GIN-ZZZ,17,6,0,ICE
2,WIZ-ZZZ,17,6,0,ICE
2,SAY-WIZ,17,6,0,ICE
2,ICE-LAX,18,6,1,ICE
2,ASH-LAX,18,6,1,ICE
2,ASH-HAM,18,6,1,ICE
2,HAM-ICE,18,6,1,ICE
2,BED-ICE,19,6,2,ICE
2,BED-MAD,19,6,2,ICE
2,CHI-MAD,19,6,2,ICE
2,BED-CHI,19,6,2,ICE
2,BED-PAW,19,6,2,ICE
2,HUG-VAN,20,7,0,HUG
2,CUP-VAN,20,7,0,HUG
2,BAR-CUP,20,7,0,HUG
2,BAR-DOG,20,7,0,HUG
2,DOG-PAW,20,7,0,HUG
2,HUG-SIR,21,7,1,HUG
2,CUP-SIR,21,7,1,HUG
2,CUP-GYM,21,7,1,HUG
2,HUG-LID,22,7,2,HUG
2,GYM-LID,22,7,2,HUG
2,EGO-GYM,22,7,2,HUG
2,BOX-EGO,22,7,2,HUG
2,BOX-GYM,23,8,0,BOX
2,GYM-OAR,23,8,0,BOX
2,OAR-ZIG,23,8,0,BOX
2,PAW-ZIG,23,8,0,BOX
2,BOX-VAN,24,8,1,BOX
2,GYM-VAN,24,8,1,BOX
2,GYM-PAW,24,8,1,BOX
2,PAW-VAN,24,8,1,BOX
2,BOX-HUG,25,8,2,BOX
2,FLU-HUG,25,8,2,BOX
2,FLU-VAN,25,8,2,BOX
2,GIN-WIZ,26,9,0,GIN
2,TAX-WIZ,26,9,0,GIN
2,TAX-ZIG,26,9,0,GIN
2,SAY-ZIG,26,9,0,GIN
2,CUP-PAW,27,10,0,PAW
2,CUP-HUG,27,10,0,PAW
2,GYM-HUG,27,10,0,PAW
2,PAW-SAY,28,10,1,PAW
2,ICE-SAY,28,10,1,PAW
2,ICE-MAD,28,10,1,PAW
2,LAX-MAD,28,10,1,PAW
2,HAM-LAX,28,10,1,PAW
2,ART-KIT,29,11,0,ART
2,CHI-KIT,29,11,0,ART
2,CHI-DOG,29,11,0,ART
2,AGE-DOG,29,11,0,ART
2,AGE-BAR,29,11,0,ART
2,ART-MAD,30,11,1,ART
3,DRY-OIL,31,12,0,OIL
3,DRY-REF,31,12,0,OIL
3,HOW-REF,31,12,0,OIL
3,HOW-SHY,31,12,0,OIL
3,INK-OIL,32,12,1,OIL
3,GUT-INK,32,12,1,OIL
3,GUT-RUM,32,12,1,OIL
3,INK-RUM,32,12,1,OIL
3,OIL-RUM,33,12,2,OIL
