Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
PIE-1,PIE,1,18.90968059,136.201273,-30.11467737,GAL_NIX_OVA_RAD_RUM,GAL-PIE_NIX-PIE_OVA-PIE_PIE-RAD_PIE-RUM,GAL-PIE-1_NIX-PIE-1_OVA-PIE-1_PIE-RAD-1_PIE-RUM-1,GAL-1_NIX-1_OVA-1_RAD-1_RUM-5,1
PIG-13,PIG,13,5.820940594,-117.48782,33.97493563,EGG_MOO_RUG_ZAP_PRO,EGG-PIG_MOO-PIG_PIG-RUG_PIG-ZAP_PIG-PRO,EGG-PIG-10_MOO-PIG-10_PIG-RUG-10_PIG-ZAP-13_PIG-PRO-13,EGG-10_MOO-10_RUG-10_ZAP-13_PRO-13,0
VOW-6,VOW,6,-65.23407541,67.63065498,28.89226863,FUN_PLY_REF_WIZ,FUN-VOW_PLY-VOW_REF-VOW_VOW-WIZ,FUN-VOW-5_PLY-VOW-5_REF-VOW-5_PLY-VOW-6_VOW-WIZ-6,FUN-5_PLY-5_REF-5_PLY-6_WIZ-4,0
SEX-8,SEX,8,61.78807259,-114.597803,-21.04072737,GEL_PHI_TAR_YAY,GEL-SEX_PHI-SEX_SEX-TAR_SEX-YAY,GEL-SEX-10_PHI-SEX-8_SEX-TAR-8_SEX-YAY-8,GEL-10_PHI-8_TAR-8_YAY-8,0
VOW-5,VOW,6,-62.43054341,69.62542098,26.85238563,FUN_PLY_REF_WIZ,FUN-VOW_PLY-VOW_REF-VOW_VOW-WIZ,FUN-VOW-5_PLY-VOW-5_REF-VOW-5_PLY-VOW-6_VOW-WIZ-6,FUN-5_PLY-5_REF-5_PLY-6_WIZ-4,0
COY-12,COY,9,-80.29390641,-50.00527902,1.984625628,ART_CHI_NOR_MAD,ART-COY_CHI-COY_COY-NOR_COY-MAD,ART-COY-12_COY-NOR-12_COY-MAD-12_CHI-COY-9_COY-NOR-9,ART-12_NOR-12_MAD-12_CHI-9_NOR-9,0
AHI-7,AHI,7,39.02183059,34.45504998,64.71688063,ERA_EON,AHI-ERA_AHI-EON,AHI-ERA-7_AHI-EON-7,ERA-7_EON-7,0
TRY-6,TRY,6,-39.11595341,-19.65037802,71.77933563,ACT_DUH_FOG_LAM_SOY,ACT-TRY_DUH-TRY_FOG-TRY_LAM-TRY_SOY-TRY,ACT-TRY-6_DUH-TRY-6_FOG-TRY-6_SOY-TRY-6_LAM-TRY-12,ACT-6_DUH-6_FOG-6_SOY-6_LAM-12,0
DUB-5,DUB,5,40.70018759,99.97916498,31.93446463,ADO_ARM_TOY_WAR_WET,ADO-DUB_ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_ADO-DUB-5_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ADO-5_TOY-5_WAR-5,0
EGG-10,EGG,10,4.830568594,-149.573482,21.92542263,ALL_RUG_PIG_FOR_MOO,ALL-EGG_EGG-RUG_EGG-PIG_EGG-FOR_EGG-MOO,ALL-EGG-10_EGG-RUG-10_EGG-PIG-10_EGG-FOR-10_EGG-MOO-10,ALL-10_RUG-10_PIG-10_FOR-10_MOO-10,0
DUB-1,DUB,5,43.10971859,102.496384,29.54441263,ADO_ARM_TOY_WAR_WET,ADO-DUB_ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_ADO-DUB-5_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ADO-5_TOY-5_WAR-5,0
BAR-4,BAR,9,-107.2781254,-27.39621002,-61.13785137,AGE_CUP_FLU_DOG_ONO,AGE-BAR_BAR-CUP_BAR-FLU_BAR-DOG_BAR-ONO,BAR-CUP-4_BAR-FLU-4_BAR-DOG-4_AGE-BAR-9_BAR-DOG-9_BAR-ONO-9,CUP-4_FLU-4_DOG-4_AGE-9_DOG-9_ONO-9,0
FIX-11,FIX,7,74.09911959,-9.163696017,23.39753763,AIR_MAC_ODD_GAS_LUG,AIR-FIX_FIX-MAC_FIX-ODD_FIX-GAS_FIX-LUG,AIR-FIX-11_FIX-MAC-11_FIX-ODD-11_FIX-GAS-11_FIX-LUG-11_FIX-MAC-7,AIR-11_MAC-11_ODD-11_GAS-11_LUG-11_MAC-7,0
VAN-4,VAN,4,-112.5420554,21.71477298,-72.36783537,BOX_FLU_GYM_HUG_PAW,BOX-VAN_FLU-VAN_GYM-VAN_HUG-VAN_PAW-VAN,BOX-VAN-4_FLU-VAN-4_GYM-VAN-4_HUG-VAN-4_PAW-VAN-4,BOX-4_FLU-4_GYM-4_HUG-4_PAW-4,0
FLY-3,FLY,5,-84.06863141,96.82086198,-1.491527372,AGO_ALA_DRY_OIL_TAX,AGO-FLY_ALA-FLY_DRY-FLY_FLY-OIL_FLY-TAX,AGO-FLY-3_ALA-FLY-3_FLY-OIL-3_FLY-TAX-3_DRY-FLY-5_FLY-OIL-5,AGO-3_ALA-3_OIL-3_TAX-3_DRY-5_OIL-5,0
FLY-5,FLY,5,-82.18924841,94.36766498,1.048107628,AGO_ALA_DRY_OIL_TAX,AGO-FLY_ALA-FLY_DRY-FLY_FLY-OIL_FLY-TAX,AGO-FLY-3_ALA-FLY-3_FLY-OIL-3_FLY-TAX-3_DRY-FLY-5_FLY-OIL-5,AGO-3_ALA-3_OIL-3_TAX-3_DRY-5_OIL-5,0
OFF-2,OFF,2,79.07137459,60.63561298,-81.79092937,ASK_CIS_FRO_GUN_WHO,ASK-OFF_CIS-OFF_FRO-OFF_GUN-OFF_OFF-WHO,ASK-OFF-2_CIS-OFF-2_GUN-OFF-2_FRO-OFF-1_OFF-WHO-2,ASK-2_CIS-2_GUN-2_FRO-1_WHO-1,1
YES-7,YES,7,54.23545259,26.39750798,41.98318563,EON_GIG_NIL_WET,EON-YES_GIG-YES_NIL-YES_WET-YES,EON-YES-7_NIL-YES-7_WET-YES-7_GIG-YES-14,EON-7_NIL-7_WET-7_GIG-14,0
ASK-2,ASK,2,100.5588706,65.11660398,-67.54861437,FRO_ORC_TUB_OFF,ASK-FRO_ASK-ORC_ASK-TUB_ASK-OFF,ASK-ORC-2_ASK-TUB-2_ASK-OFF-2_ASK-FRO-2,ORC-2_TUB-2_OFF-2_FRO-1,0
INK-3,INK,3,-53.10752641,133.549724,-22.66342337,ALA_GUT_MAY_OIL_SHY,ALA-INK_GUT-INK_INK-MAY_INK-OIL_INK-SHY,ALA-INK-3_GUT-INK-3_INK-MAY-3_INK-OIL-3_INK-SHY-3,ALA-3_GUT-3_MAY-3_OIL-3_SHY-5,0
ICE-6,ICE,6,-101.6621224,2.311318983,18.75995663,BED_GIN_HAM_MAD_LAX,BED-ICE_GIN-ICE_HAM-ICE_ICE-MAD_ICE-LAX,BED-ICE-4_GIN-ICE-4_GIN-ICE-6_HAM-ICE-6_ICE-LAX-6_ICE-MAD-6,BED-4_GIN-4_GIN-6_HAM-6_LAX-6_MAD-12,0
ICE-4,ICE,6,-101.4324874,2.363567983,14.99575363,BED_GIN_HAM_MAD_LAX,BED-ICE_GIN-ICE_HAM-ICE_ICE-MAD_ICE-LAX,BED-ICE-4_GIN-ICE-4_GIN-ICE-6_HAM-ICE-6_ICE-LAX-6_ICE-MAD-6,BED-4_GIN-4_GIN-6_HAM-6_LAX-6_MAD-12,0
TAT-9,TAT,9,-57.91414741,-66.76327302,-74.08673237,COP_ELK_ONO_SIR_USE,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE,COP-TAT-9_ELK-TAT-9_ONO-TAT-9_SIR-TAT-9_TAT-USE-9,COP-9_ELK-9_ONO-9_SIR-9_USE-9,1
ZAP-13,ZAP,13,-18.45769141,-88.78774802,49.77636063,BUG_LAB_PIG_TAU_YAK,BUG-ZAP_LAB-ZAP_PIG-ZAP_TAU-ZAP_YAK-ZAP,LAB-ZAP-13_PIG-ZAP-13_TAU-ZAP-13_YAK-ZAP-13_BUG-ZAP-12,LAB-13_PIG-13_TAU-13_YAK-13_BUG-12,0
HOT-13,HOT,13,4.710215594,-98.76846102,58.92129363,PRO_JAM_OLD,HOT-PRO_HOT-JAM_HOT-OLD,HOT-PRO-13_HOT-JAM-13_HOT-OLD-13,PRO-13_JAM-13_OLD-13,0
DUI-2,DUI,2,97.20427659,55.49964198,-20.27930937,DIG_SUN_TAG_IVY_NOM,DIG-DUI_DUI-SUN_DUI-TAG_DUI-IVY_DUI-NOM,DIG-DUI-2_DUI-SUN-2_DUI-TAG-2_DUI-IVY-2_DUI-NOM-2,DIG-2_SUN-2_TAG-2_IVY-2_NOM-2,0
