Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground
LAW-LIE,14,10.22523459,-68.56024402,52.33663563,21.34120359,-26.85873602,65.73183363,LAW_LIE,LAW-LIE-14,"['ERA', 'FOG', 'RIB', 'TAU', 'EVE', 'FAX', 'HOT', 'ZOO']",LAW-14_LIE-14,"['ERA-LAW-14', 'FOG-LAW-14', 'LAW-RIB-14', 'LAW-TAU-14', 'FAX-LIE-11', 'LIE-ZOO-11', 'HOT-LIE-13', 'EVE-LIE-14']","['ERA-LAW', 'FOG-LAW', 'LAW-RIB', 'LAW-TAU', 'EVE-LIE', 'FAX-LIE', 'HOT-LIE', 'LIE-ZOO']","['ERA-14', 'FOG-14', 'RIB-14', 'TAU-14', 'FAX-11', 'ZOO-11', 'HOT-13', 'EVE-14']",0
HIT-SUN,2_7,96.86061759,36.32947298,-2.583674372,105.0021466,66.47715898,4.395899628,HIT_SUN,HIT-SUN-2_HIT-SUN-7,"['BRO', 'DIG', 'DUI', 'EYE', 'IVY', 'SKY']",HIT-2_SUN-2_HIT-7_SUN-7,"['DIG-HIT-2', 'DUI-HIT-2', 'BRO-HIT-7', 'IVY-SUN-2', 'SKY-SUN-2', 'EYE-SUN-7', 'IVY-SUN-7']","['BRO-HIT', 'DIG-HIT', 'DUI-HIT', 'EYE-SUN', 'IVY-SUN', 'SKY-SUN']","['DIG-2', 'DUI-2', 'BRO-7', 'IVY-2', 'SKY-2', 'EYE-7', 'IVY-7']",0
COW-KEG,11,60.75696259,-61.85164402,10.55548263,83.77172959,-56.31003402,27.76317763,COW_KEG,COW-KEG-11,"['ODD', 'TAR', 'WHY', 'WAS']",COW-11_KEG-11,"['COW-ODD-11', 'COW-TAR-11', 'KEG-ODD-11', 'KEG-WAS-11', 'KEG-WHY-8']","['COW-ODD', 'COW-TAR', 'KEG-WHY', 'KEG-ODD', 'KEG-WAS']","['ODD-11', 'TAR-11', 'ODD-11', 'WAS-11', 'WHY-8']",0
HEX-SIP,3,-57.82588741,138.550331,-73.40293337,-28.66803741,143.011165,-69.18081237,HEX_SIP,HEX-SIP-3,"['GUT', 'MAY', 'WAX', 'RUM']",HEX-3_SIP-3,"['GUT-HEX-3', 'HEX-MAY-3', 'HEX-WAX-3', 'GUT-SIP-3', 'MAY-SIP-3', 'RUM-SIP-3', 'SIP-WAX-3']","['GUT-HEX', 'HEX-MAY', 'HEX-WAX', 'GUT-SIP', 'MAY-SIP', 'RUM-SIP', 'SIP-WAX']","['GUT-3', 'MAY-3', 'WAX-3', 'GUT-3', 'MAY-3', 'RUM-3', 'WAX-3']",0
EAR-WAS,11,47.71669559,-101.306211,19.97496263,71.74941359,-81.86690602,24.42671963,EAR_WAS,EAR-WAS-11,"['GEL', 'ZOO', 'PHI', 'KEG', 'TAR']",EAR-11_WAS-11,"['EAR-ZOO-11', 'EAR-PHI-11', 'EAR-GEL-10', 'KEG-WAS-11', 'PHI-WAS-11', 'TAR-WAS-11', 'WAS-ZOO-11']","['EAR-GEL', 'EAR-ZOO', 'EAR-PHI', 'KEG-WAS', 'PHI-WAS', 'TAR-WAS', 'WAS-ZOO']","['ZOO-11', 'PHI-11', 'GEL-10', 'KEG-11', 'PHI-11', 'TAR-11', 'ZOO-11']",0
LAB-YAK,13_12,-47.02312041,-95.14453702,49.32608163,-37.12603241,-68.52870402,62.35637563,LAB_YAK,LAB-YAK-13_LAB-YAK-12,"['LAM', 'ZAP', 'OLD', 'FIG', 'GOO', 'PRO']",LAB-13_YAK-13_LAB-12_YAK-12,"['LAB-ZAP-13', 'LAB-OLD-13', 'LAB-LAM-12', 'GOO-YAK-13', 'PRO-YAK-13', 'YAK-ZAP-13', 'FIG-YAK-12', 'GOO-YAK-12']","['LAB-LAM', 'LAB-ZAP', 'LAB-OLD', 'FIG-YAK', 'GOO-YAK', 'PRO-YAK', 'YAK-ZAP']","['ZAP-13', 'OLD-13', 'LAM-12', 'GOO-13', 'PRO-13', 'ZAP-13', 'FIG-12', 'GOO-12']",0
JOY-SPY,1,57.90937859,108.367809,-41.34419237,84.05906559,124.876711,-32.10448937,JOY_SPY,JOY-SPY-1,"['BIO', 'DIG', 'GUN', 'RAW', 'LEG', 'NOM', 'PIE']",JOY-1_SPY-1,"['BIO-JOY-1', 'GUN-JOY-1', 'JOY-RAW-1', 'DIG-JOY-2', 'LEG-SPY-1', 'NOM-SPY-1', 'PIE-SPY-1']","['BIO-JOY', 'DIG-JOY', 'GUN-JOY', 'JOY-RAW', 'LEG-SPY', 'NOM-SPY', 'PIE-SPY']","['BIO-1', 'GUN-1', 'RAW-1', 'DIG-2', 'LEG-1', 'NOM-1', 'PIE-1']",0
HOT-PIG,13,4.710215594,-117.48782,33.97493563,5.820940594,-98.76846102,58.92129363,HOT_PIG,HOT-PIG-13,"['PRO', 'JAM', 'OLD', 'LIE', 'ALL', 'EGG', 'ZAP']",HOT-13_PIG-13,"['HOT-PRO-13', 'HOT-JAM-13', 'HOT-OLD-13', 'HOT-LIE-13', 'ALL-PIG-10', 'EGG-PIG-10', 'JAM-PIG-13', 'PIG-ZAP-13']","['HOT-PRO', 'HOT-JAM', 'HOT-OLD', 'HOT-LIE', 'ALL-PIG', 'EGG-PIG', 'JAM-PIG', 'PIG-ZAP']","['PRO-13', 'JAM-13', 'OLD-13', 'LIE-13', 'ALL-10', 'EGG-10', 'JAM-13', 'ZAP-13']",0
BRO-NOM,7,76.18738459,72.08309498,-4.606762372,82.03459059,86.59016998,23.31367063,BRO_NOM,BRO-NOM-7,"['ACE', 'ARM', 'WET', 'HIT', 'BIO', 'DUI', 'SPY']",BRO-7_NOM-7,"['ACE-BRO-7', 'BRO-WET-7', 'BRO-HIT-7', 'ARM-BRO-1', 'ARM-NOM-1', 'BIO-NOM-1', 'NOM-SPY-1', 'DUI-NOM-2']","['ACE-BRO', 'ARM-BRO', 'BRO-WET', 'BRO-HIT', 'ARM-NOM', 'BIO-NOM', 'DUI-NOM', 'NOM-SPY']","['ACE-7', 'WET-7', 'HIT-7', 'ARM-1', 'ARM-1', 'BIO-1', 'SPY-1', 'DUI-2']",0
DAY-GIN,4,-94.73552341,29.94447198,-26.25327037,-89.79028241,31.51131598,13.93948363,DAY_GIN,DAY-GIN-4,"['CUP', 'TAX', 'PAW', 'ZIG', 'WIZ', 'LAX', 'ICE']",DAY-4_GIN-4,"['CUP-DAY-4', 'DAY-TAX-4', 'DAY-PAW-4', 'DAY-ZIG-4', 'GIN-WIZ-4', 'GIN-ICE-4', 'GIN-LAX-6', 'GIN-ICE-6']","['CUP-DAY', 'DAY-TAX', 'DAY-PAW', 'DAY-ZIG', 'GIN-WIZ', 'GIN-LAX', 'GIN-ICE']","['CUP-4', 'TAX-4', 'PAW-4', 'ZIG-4', 'WIZ-4', 'ICE-4', 'LAX-6', 'ICE-6']",0
