Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
PIE-1,PIE,1,18.90968059,136.201273,-30.11467737,HOW_NIX_OVA_RUM_SPY,HOW-PIE_NIX-PIE_OVA-PIE_PIE-RUM_PIE-SPY,HOW-PIE-1_NIX-PIE-1_OVA-PIE-1_PIE-SPY-1_PIE-RUM-1,HOW-1_NIX-1_OVA-1_SPY-1_RUM-5,1
PIG-13,PIG,13,5.820940594,-117.48782,33.97493563,ALL_EGG_HOT_JAM_ZAP,ALL-PIG_EGG-PIG_HOT-PIG_JAM-PIG_PIG-ZAP,ALL-PIG-10_EGG-PIG-10_HOT-PIG-13_JAM-PIG-13_PIG-ZAP-13,ALL-10_EGG-10_HOT-13_JAM-13_ZAP-13,0
VOW-6,VOW,6,-65.23407541,67.63065498,28.89226863,DRY_FLY_OIL_ZZZ,DRY-VOW_FLY-VOW_OIL-VOW_VOW-ZZZ,DRY-VOW-5_FLY-VOW-5_OIL-VOW-5_VOW-ZZZ-6,DRY-5_FLY-5_OIL-5_ZZZ-6,0
SEX-8,SEX,8,61.78807259,-114.597803,-21.04072737,CAB_DAD_GEL_PHI_TAR,CAB-SEX_DAD-SEX_GEL-SEX_PHI-SEX_SEX-TAR,CAB-SEX-10_DAD-SEX-10_GEL-SEX-10_PHI-SEX-8_SEX-TAR-8,CAB-10_DAD-10_GEL-10_PHI-8_TAR-8,0
VOW-5,VOW,6,-62.43054341,69.62542098,26.85238563,DRY_FLY_OIL_ZZZ,DRY-VOW_FLY-VOW_OIL-VOW_VOW-ZZZ,DRY-VOW-5_FLY-VOW-5_OIL-VOW-5_VOW-ZZZ-6,DRY-5_FLY-5_OIL-5_ZZZ-6,0
COY-12,COY,9,-80.29390641,-50.00527902,1.984625628,BUG_CHI_LAX_NOR_KIT,BUG-COY_CHI-COY_COY-LAX_COY-NOR_COY-KIT,BUG-COY-12_COY-LAX-12_COY-NOR-12_CHI-COY-9_COY-NOR-9_COY-KIT-9,BUG-12_LAX-12_NOR-12_CHI-9_NOR-9_KIT-9,0
AHI-7,AHI,7,39.02183059,34.45504998,64.71688063,NIL_ERA_IRE,AHI-NIL_AHI-ERA_AHI-IRE,AHI-NIL-7_AHI-ERA-7_AHI-IRE-7,NIL-7_ERA-7_IRE-7,0
TRY-6,TRY,6,-39.11595341,-19.65037802,71.77933563,DUH_LAM_TAU,DUH-TRY_LAM-TRY_TAU-TRY,DUH-TRY-6_TAU-TRY-6_LAM-TRY-12,DUH-6_TAU-6_LAM-12,0
DUB-5,DUB,5,40.70018759,99.97916498,31.93446463,ADO_ARM_TOY_WAR_WET,ADO-DUB_ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_ADO-DUB-5_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ADO-5_TOY-5_WAR-5,0
EGG-10,EGG,10,4.830568594,-149.573482,21.92542263,ALL_RUG_PIG_FOR_MOO,ALL-EGG_EGG-RUG_EGG-PIG_EGG-FOR_EGG-MOO,ALL-EGG-10_EGG-RUG-10_EGG-PIG-10_EGG-FOR-10_EGG-MOO-10,ALL-10_RUG-10_PIG-10_FOR-10_MOO-10,0
DUB-1,DUB,5,43.10971859,102.496384,29.54441263,ADO_ARM_TOY_WAR_WET,ADO-DUB_ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_ADO-DUB-5_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ADO-5_TOY-5_WAR-5,0
BAR-4,BAR,9,-107.2781254,-27.39621002,-61.13785137,CUP_FLU_DOG_ONO,BAR-CUP_BAR-FLU_BAR-DOG_BAR-ONO,BAR-CUP-4_BAR-FLU-4_BAR-DOG-4_BAR-DOG-9_BAR-ONO-9,CUP-4_FLU-4_DOG-4_DOG-9_ONO-9,0
FIX-11,FIX,7,74.09911959,-9.163696017,23.39753763,ACE_MAC_POP_IVY_GIG,ACE-FIX_FIX-MAC_FIX-POP_FIX-IVY_FIX-GIG,FIX-MAC-11_FIX-GIG-11_ACE-FIX-7_FIX-MAC-7_FIX-POP-7_FIX-IVY-7,MAC-11_GIG-11_ACE-7_MAC-7_POP-7_IVY-7,0
