Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
1,11,11,AIR,ODD,71.50225404829871,-32.54047597943496,43.20211047979288
2,11,11,AIR,ODD,71.87338750659742,-32.64941393886992,42.67206432958576
3,11,11,AIR,ODD,72.24452096489614,-32.75835189830488,42.14201817937864
4,11,11,AIR,ODD,72.61565442319485,-32.86728985773984,41.61197202917152
5,11,11,AIR,ODD,72.98678788149357,-32.9762278171748,41.0819258789644
6,11,11,AIR,ODD,73.35792133979228,-33.08516577660976,40.55187972875728
7,11,11,AIR,ODD,73.729054798091,-33.194103736044724,40.02183357855016
8,11,11,AIR,ODD,74.10018825638971,-33.303041695479685,39.49178742834304
9,11,11,AIR,ODD,74.47132171468843,-33.411979654914646,38.96174127813592
10,11,11,AIR,ODD,74.84245517298714,-33.52091761434961,38.4316951279288
11,11,11,AIR,ODD,75.21358863128586,-33.62985557378457,37.90164897772168
12,11,11,AIR,ODD,75.58472208958457,-33.73879353321953,37.37160282751456
13,11,11,AIR,ODD,75.95585554788329,-33.84773149265449,36.84155667730744
14,11,11,AIR,ODD,76.326989006182,-33.95666945208945,36.31151052710032
15,11,11,AIR,ODD,76.69812246448072,-34.06560741152441,35.7814643768932
16,11,11,AIR,ODD,77.06925592277943,-34.17454537095937,35.25141822668608
17,11,11,AIR,ODD,77.44038938107815,-34.28348333039433,34.72137207647896
18,11,11,AIR,ODD,77.81152283937686,-34.392421289829294,34.19132592627184
19,11,11,AIR,ODD,78.18265629767558,-34.501359249264254,33.66127977606472
20,11,11,AIR,ODD,78.5537897559743,-34.610297208699215,33.1312336258576
21,11,11,AIR,ODD,78.92492321427301,-34.719235168134176,32.60118747565048
22,11,11,AIR,ODD,79.29605667257172,-34.82817312756914,32.07114132544336
23,11,11,AIR,ODD,79.66719013087044,-34.9371110870041,31.54109517523624
24,11,11,AIR,ODD,80.03832358916915,-35.04604904643906,31.011049025029124
25,11,11,AIR,ODD,80.40945704746787,-35.15498700587402,30.481002874822007
26,11,11,AIR,ODD,80.78059050576658,-35.26392496530898,29.95095672461489
27,11,11,AIR,ODD,81.1517239640653,-35.37286292474394,29.420910574407774
28,11,11,AIR,ODD,81.52285742236401,-35.4818008841789,28.890864424200657
29,11,11,AIR,ODD,81.89399088066273,-35.59073884361386,28.36081827399354
30,11,11,AIR,ODD,82.26512433896144,-35.699676803048824,27.830772123786424
31,11,11,AIR,ODD,82.63625779726016,-35.808614762483785,27.300725973579308
32,11,11,AIR,ODD,83.00739125555887,-35.917552721918746,26.77067982337219
33,11,11,AIR,ODD,83.37852471385759,-36.02649068135371,26.240633673165075
34,11,11,AIR,ODD,83.7496581721563,-36.13542864078867,25.710587522957958
35,11,11,AIR,ODD,84.12079163045502,-36.24436660022363,25.18054137275084
36,11,11,AIR,ODD,84.49192508875373,-36.35330455965859,24.650495222543725
37,11,11,AIR,ODD,84.86305854705245,-36.46224251909355,24.12044907233661
38,11,11,AIR,ODD,85.23419200535116,-36.57118047852851,23.590402922129492
39,11,11,AIR,ODD,85.60532546364988,-36.68011843796347,23.060356771922375
40,11,11,AIR,ODD,85.97645892194859,-36.78905639739843,22.53031062171526
41,11,11,AIR,ODD,86.3475923802473,-36.897994356833394,22.000264471508142
42,11,11,AIR,MAC,71.06631626106035,-31.792357216453624,43.86559104667162
43,11,11,AIR,MAC,71.0015119321207,-31.15317641290725,43.99902546334324
44,11,11,AIR,MAC,70.93670760318106,-30.513995609360876,44.132459880014856
45,11,11,AIR,MAC,70.87190327424142,-29.874814805814502,44.265894296686476
46,11,11,AIR,MAC,70.80709894530177,-29.235634002268128,44.399328713358095
47,11,11,AIR,MAC,70.74229461636213,-28.596453198721754,44.532763130029714
48,11,11,AIR,MAC,70.67749028742249,-27.95727239517538,44.66619754670133
49,11,11,AIR,MAC,70.61268595848284,-27.318091591629006,44.79963196337295
50,11,11,AIR,MAC,70.5478816295432,-26.678910788082632,44.93306638004457
51,11,11,AIR,MAC,70.48307730060355,-26.039729984536258,45.06650079671619
52,11,11,AIR,MAC,70.41827297166391,-25.400549180989884,45.19993521338781
53,11,11,AIR,MAC,70.35346864272427,-24.76136837744351,45.33336963005943
54,11,11,AIR,MAC,70.28866431378462,-24.122187573897136,45.46680404673105
55,11,11,AIR,MAC,70.22385998484498,-23.483006770350762,45.60023846340267
56,11,11,AIR,MAC,70.15905565590533,-22.84382596680439,45.73367288007429
57,11,11,AIR,MAC,70.09425132696569,-22.204645163258014,45.86710729674591
58,11,11,AIR,MAC,70.02944699802605,-21.56546435971164,46.000541713417526
59,11,11,AIR,MAC,69.9646426690864,-20.926283556165266,46.133976130089145
60,11,11,AIR,MAC,69.89983834014676,-20.287102752618893,46.267410546760765
61,11,11,AIR,MAC,69.83503401120711,-19.64792194907252,46.400844963432384
62,11,11,AIR,MAC,69.77022968226747,-19.008741145526145,46.534279380104
63,11,11,AIR,MAC,69.70542535332783,-18.36956034197977,46.66771379677562
64,11,11,AIR,MAC,69.64062102438818,-17.730379538433397,46.80114821344724
65,11,11,AIR,MAC,69.57581669544854,-17.091198734887023,46.93458263011886
66,11,11,AIR,MAC,69.5110123665089,-16.45201793134065,47.06801704679048
67,11,11,AIR,MAC,69.44620803756925,-15.812837127794275,47.2014514634621
68,11,11,AIR,MAC,69.3814037086296,-15.1736563242479,47.33488588013372
69,11,11,AIR,MAC,69.31659937968996,-14.534475520701527,47.46832029680534
70,11,11,AIR,MAC,69.25179505075032,-13.895294717155153,47.60175471347696
71,11,11,AIR,MAC,69.18699072181067,-13.256113913608779,47.73518913014858
