Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer
LAW-LIE,14,10.22523459,-68.56024402,52.33663563,21.34120359,-26.85873602,65.73183363,LAW_LIE,LAW-LIE-14,"['EVE', 'RIB', 'COW', 'OLD']",LAW-14_LIE-14,"['EVE-LAW-14', 'LAW-RIB-14', 'COW-LIE-11', 'LIE-OLD-13', 'LIE-OLD-14', 'EVE-LIE-14']","['EVE-LAW', 'LAW-RIB', 'COW-LIE', 'LIE-OLD', 'EVE-LIE']","['EVE-14', 'RIB-14', 'COW-11', 'OLD-13', 'OLD-14', 'EVE-14']",0,inner
AIR-ODD,11,71.13112059,-36.78945902,22.52835163,85.97783059,-32.43153802,43.73215663,AIR_ODD,AIR-ODD-11,"['FAX', 'FIX', 'GAS', 'KEG']",AIR-11_ODD-11,"['AIR-FAX-11', 'AIR-FIX-11', 'GAS-ODD-11', 'KEG-ODD-11']","['AIR-FAX', 'AIR-FIX', 'GAS-ODD', 'KEG-ODD']","['FAX-11', 'FIX-11', 'GAS-11', 'KEG-11']",0,outer
BOX-VAN,4,-112.5420554,21.71477298,-89.24967437,-102.3783024,45.64410998,-72.36783537,BOX_VAN,BOX-VAN-4,"['HUG', 'LID', 'GYM']",BOX-4_VAN-4,"['BOX-HUG-4', 'BOX-LID-4', 'GYM-VAN-4', 'HUG-VAN-4']","['BOX-HUG', 'BOX-LID', 'GYM-VAN', 'HUG-VAN']","['HUG-4', 'LID-3', 'GYM-4', 'HUG-4']",0,outer
HIT-SUN,2_7,96.86061759,36.32947298,-2.583674372,105.0021466,66.47715898,4.395899628,HIT_SUN,HIT-SUN-2_HIT-SUN-7,"['DIG', 'BRO', 'SKY', 'EYE']",HIT-2_SUN-2_HIT-7_SUN-7,"['DIG-HIT-2', 'BRO-HIT-7', 'SKY-SUN-2', 'EYE-SUN-7']","['DIG-HIT', 'BRO-HIT', 'SKY-SUN', 'EYE-SUN']","['DIG-2', 'BRO-7', 'SKY-2', 'EYE-7']",0,outer
COW-KEG,11,60.75696259,-61.85164402,10.55548263,83.77172959,-56.31003402,27.76317763,COW_KEG,COW-KEG-11,"['LIE', 'FAX', 'LUG', 'ODD', 'WAS']",COW-11_KEG-11,"['COW-LIE-11', 'COW-FAX-11', 'KEG-LUG-11', 'KEG-ODD-11', 'KEG-WAS-11', 'KEG-LUG-8']","['COW-LIE', 'COW-FAX', 'KEG-LUG', 'KEG-ODD', 'KEG-WAS']","['LIE-11', 'FAX-11', 'LUG-11', 'ODD-11', 'WAS-11', 'LUG-8']",0,in_to_out
GUN-TUB,2,82.23037459,63.81006798,-50.55793937,107.6198766,83.33962298,-42.85213937,GUN_TUB,GUN-TUB-2,"['FRO', 'JOY', 'WHO', 'ASK', 'DIG']",GUN-2_TUB-2,"['FRO-GUN-1', 'GUN-JOY-1', 'GUN-WHO-1', 'ASK-TUB-2', 'DIG-TUB-2']","['FRO-GUN', 'GUN-JOY', 'GUN-WHO', 'ASK-TUB', 'DIG-TUB']","['FRO-1', 'JOY-1', 'WHO-1', 'ASK-2', 'DIG-2']",0,in_to_out
FOX-SKY,2,112.3883416,14.11545098,-39.83334437,113.4612856,35.23947098,-28.36083737,FOX_SKY,FOX-SKY-2,"['BOY', 'IVY', 'TAG', 'DUI', 'SUN']",FOX-2_SKY-2,"['BOY-FOX-2', 'FOX-IVY-2', 'FOX-TAG-2', 'DUI-SKY-2', 'SKY-SUN-2', 'SKY-TAG-2']","['BOY-FOX', 'FOX-IVY', 'FOX-TAG', 'DUI-SKY', 'SKY-SUN', 'SKY-TAG']","['BOY-2', 'IVY-2', 'TAG-2', 'DUI-2', 'SUN-2', 'TAG-2']",0,outer
YAK-ZAP,13,-44.92779141,-95.14453702,49.47698363,-18.45769141,-88.78774802,49.77636063,YAK_ZAP,YAK-ZAP-13,"['FIG', 'GOO', 'LAB']",YAK-13_ZAP-13,"['GOO-YAK-13', 'LAB-YAK-13', 'FIG-YAK-12', 'GOO-YAK-12', 'LAB-YAK-12']","['FIG-YAK', 'GOO-YAK', 'LAB-YAK']","['GOO-13', 'LAB-13', 'FIG-12', 'GOO-12', 'LAB-12']",0,in_to_out
ERA-NIL,7,17.26735359,17.24063198,52.16379663,25.22632359,54.72796798,60.56250663,ERA_NIL,ERA-NIL-7,"['AHI', 'YES', 'TOY', 'EON']",ERA-7_NIL-7,"['AHI-ERA-7', 'ERA-YES-7', 'NIL-TOY-5', 'NIL-TOY-7', 'EON-NIL-7', 'NIL-YES-7']","['AHI-ERA', 'ERA-YES', 'NIL-TOY', 'EON-NIL', 'NIL-YES']","['AHI-7', 'YES-7', 'TOY-5', 'TOY-7', 'EON-7', 'YES-7']",0,inner
ACT-TAU,6,-51.10642441,-43.09522102,48.41176363,-23.40370241,-19.28789502,60.45120163,ACT_TAU,ACT-TAU-6,"['TRY', 'DUH', 'LAX', 'FOG', 'LAM']",ACT-6_TAU-6,"['ACT-LAX-12', 'ACT-TRY-6', 'ACT-DUH-6', 'ACT-LAX-6', 'FOG-TAU-14', 'FOG-TAU-6', 'LAM-TAU-12']","['ACT-TRY', 'ACT-DUH', 'ACT-LAX', 'FOG-TAU', 'LAM-TAU']","['LAX-12', 'TRY-6', 'DUH-6', 'LAX-6', 'FOG-14', 'FOG-6', 'LAM-12']",0,inner
