Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z,Strip
0,14,14,FOG,TAU,-12.410101262822423,-26.039530677630214,77.68938543495882,1
1,14,14,FOG,TAU,-12.623242500098945,-26.521223019216816,77.29810580955898,1
2,14,14,FOG,TAU,-12.836383737375467,-27.002915360803417,76.90682618415913,1
3,14,14,FOG,TAU,-13.04952497465199,-27.48460770239002,76.51554655875928,1
4,14,14,FOG,TAU,-13.262666211928511,-27.96630004397662,76.12426693335944,1
5,14,14,FOG,TAU,-13.475807449205034,-28.44799238556322,75.73298730795959,1
6,14,14,FOG,TAU,-13.688948686481556,-28.929684727149823,75.34170768255974,1
7,14,14,FOG,TAU,-13.902089923758078,-29.411377068736424,74.9504280571599,1
8,14,14,FOG,TAU,-14.1152311610346,-29.893069410323026,74.55914843176005,1
9,14,14,FOG,TAU,-14.328372398311123,-30.374761751909627,74.1678688063602,1
10,14,14,FOG,TAU,-14.541513635587645,-30.85645409349623,73.77658918096036,1
11,14,14,FOG,TAU,-14.754654872864167,-31.33814643508283,73.38530955556051,1
12,14,14,FOG,TAU,-14.96779611014069,-31.81983877666943,72.99402993016066,1
13,14,14,FOG,TAU,-15.180937347417212,-32.30153111825604,72.60275030476082,1
14,14,14,FOG,TAU,-15.394078584693734,-32.78322345984264,72.21147067936097,1
15,14,14,FOG,TAU,-15.607219821970256,-33.26491580142924,71.82019105396112,1
16,14,14,FOG,TAU,-15.820361059246778,-33.74660814301584,71.42891142856128,1
17,14,14,FOG,TAU,-16.0335022965233,-34.22830048460244,71.03763180316143,1
18,14,14,FOG,TAU,-16.24664353379982,-34.709992826189044,70.64635217776159,1
19,14,14,FOG,TAU,-16.45978477107634,-35.191685167775645,70.25507255236174,1
20,14,14,FOG,TAU,-16.67292600835286,-35.67337750936225,69.86379292696189,1
21,14,14,FOG,TAU,-16.88606724562938,-36.15506985094885,69.47251330156205,1
22,14,14,FOG,TAU,-17.0992084829059,-36.63676219253545,69.0812336761622,1
23,14,14,FOG,TAU,-17.31234972018242,-37.11845453412205,68.68995405076235,1
24,14,14,FOG,TAU,-17.525490957458942,-37.60014687570865,68.2986744253625,1
25,14,14,FOG,TAU,-17.738632194735462,-38.081839217295254,67.90739479996266,1
26,14,14,FOG,TAU,-17.951773432011983,-38.563531558881856,67.51611517456281,1
27,14,14,FOG,TAU,-18.164914669288503,-39.04522390046846,67.12483554916297,1
28,14,14,FOG,TAU,-18.378055906565024,-39.52691624205506,66.73355592376312,1
29,14,14,FOG,TAU,-18.591197143841544,-40.00860858364166,66.34227629836327,1
30,14,14,FOG,TAU,-18.804338381118065,-40.49030092522826,65.95099667296343,1
31,14,14,FOG,TAU,-19.017479618394585,-40.97199326681486,65.55971704756358,1
32,14,14,FOG,TAU,-19.230620855671106,-41.453685608401464,65.16843742216373,1
33,14,14,FOG,TAU,-19.443762092947626,-41.935377949988066,64.77715779676389,1
34,14,14,FOG,TAU,-19.656903330224146,-42.41707029157467,64.38587817136404,1
35,14,14,FOG,TAU,-19.870044567500667,-42.89876263316127,63.99459854596419,1
36,14,14,FOG,TAU,-20.083185804777187,-43.38045497474787,63.603318920564334,1
37,14,14,FOG,TAU,-20.296327042053708,-43.86214731633447,63.21203929516448,1
38,14,14,FOG,TAU,-20.50946827933023,-44.34383965792107,62.82075966976463,1
39,14,14,FOG,TAU,-20.72260951660675,-44.825531999507675,62.42948004436477,1
40,14,14,FOG,TAU,-20.93575075388327,-45.307224341094276,62.03820041896492,1
41,14,14,LAW,RIB,9.744063755978233,-25.603237096980934,66.39681263928132,2
42,14,14,LAW,RIB,9.533577820099305,-25.05402495210122,66.68770460365606,2
43,14,14,LAW,RIB,9.323091884220377,-24.504812807221505,66.9785965680308,2
44,14,14,LAW,RIB,9.112605948341448,-23.95560066234179,67.26948853240553,2
45,14,14,LAW,RIB,8.90212001246252,-23.406388517462076,67.56038049678027,2
46,14,14,LAW,RIB,8.691634076583592,-22.857176372582362,67.851272461155,2
47,14,14,LAW,RIB,8.481148140704663,-22.307964227702648,68.14216442552974,2
48,14,14,LAW,RIB,8.270662204825735,-21.758752082822934,68.43305638990448,2
49,14,14,LAW,RIB,8.060176268946806,-21.20953993794322,68.72394835427922,2
50,14,14,LAW,RIB,7.849690333067877,-20.660327793063505,69.01484031865395,2
51,14,14,LAW,RIB,7.639204397188948,-20.11111564818379,69.30573228302869,2
52,14,14,LAW,RIB,7.428718461310019,-19.561903503304077,69.59662424740343,2
53,14,14,LAW,RIB,7.218232525431089,-19.012691358424362,69.88751621177816,2
54,14,14,LAW,RIB,7.00774658955216,-18.463479213544648,70.1784081761529,2
55,14,14,LAW,RIB,6.797260653673231,-17.914267068664934,70.46930014052764,2
56,14,14,LAW,RIB,6.5867747177943015,-17.36505492378522,70.76019210490237,2
57,14,14,LAW,RIB,6.376288781915372,-16.815842778905505,71.05108406927711,2
58,14,14,LAW,RIB,6.165802846036443,-16.26663063402579,71.34197603365185,2
59,14,14,LAW,RIB,5.955316910157514,-15.717418489146077,71.63286799802658,2
60,14,14,LAW,RIB,5.744830974278584,-15.168206344266363,71.92375996240132,2
61,14,14,LAW,RIB,5.534345038399655,-14.618994199386648,72.21465192677606,2
62,14,14,LAW,RIB,5.323859102520726,-14.069782054506934,72.5055438911508,2
63,14,14,LAW,RIB,5.1133731666417965,-13.52056990962722,72.79643585552553,2
