Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
AGO,-73.94038531,90.54470979,-24.60431264,DEPRECATED,ALA_MIX_OAR_TAX_MOM_FLY_OIL_GUT,AGO-ALA_AGO-MIX_AGO-OAR_AGO-TAX_AGO-MOM_AGO-FLY_AGO-OIL_AGO-GUT,DEPRECATED,DEPRECATED,0,inner,left
BOX,-98.03328531,40.72574979,-82.64092264,DEPRECATED,HUG_GYM_LID_EGO_VAN,BOX-HUG_BOX-GYM_BOX-LID_BOX-EGO_BOX-VAN,DEPRECATED,DEPRECATED,1,outer,left
SIP,-25.01758531,133.6971198,-61.75674664,DEPRECATED,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,DEPRECATED,DEPRECATED,1,inner,left
BOY,105.7909147,6.008069785,-62.34431464,DEPRECATED,BAH_FOX_ETA_TAG_CIS_ORC,BAH-BOY_BOY-FOX_BOY-ETA_BOY-TAG_BOY-CIS_BOY-ORC,DEPRECATED,DEPRECATED,0,outer,right
PAY,101.0349147,-41.31128021,-28.35872264,DEPRECATED,ETA_JAR_LUG_TUX_WHY_WIN,ETA-PAY_JAR-PAY_LUG-PAY_PAY-TUX_PAY-WHY_PAY-WIN,DEPRECATED,DEPRECATED,0,outer,right
AGE,-87.77638531,-40.48878021,-34.41849264,DEPRECATED,KIT_BED_CHI_DOG_COY_BAR_SIR_CUP_ONO_ELK,AGE-KIT_AGE-BED_AGE-CHI_AGE-DOG_AGE-COY_AGE-BAR_AGE-SIR_AGE-CUP_AGE-ONO_AGE-ELK,DEPRECATED,DEPRECATED,0,inner,left
NAN,-52.24238531,19.81194979,44.70067736,DEPRECATED,ACT_DUH_FAN_GIN_HAM_LAX_MOP_VOW_SOY_PLY_ZZZ,ACT-NAN_DUH-NAN_FAN-NAN_GIN-NAN_HAM-NAN_LAX-NAN_MOP-NAN_NAN-VOW_NAN-SOY_NAN-PLY_NAN-ZZZ,DEPRECATED,DEPRECATED,0,inner,left
EON,59.64691469,45.68503979,50.22447736,DEPRECATED,ACE_AHI_BRO_YES_WET_POP_NIL_TOY,ACE-EON_AHI-EON_BRO-EON_EON-YES_EON-WET_EON-POP_EON-NIL_EON-TOY,DEPRECATED,DEPRECATED,0,outer,right
MIX,-78.66308531,107.0565198,-52.50296264,DEPRECATED,AGO_AIM_ALA_GUT_HEX_MOM_OAR_WAX,AGO-MIX_AIM-MIX_ALA-MIX_GUT-MIX_HEX-MIX_MIX-MOM_MIX-OAR_MIX-WAX,DEPRECATED,DEPRECATED,0,outer,left
EGO,-95.49628531,65.58764979,-73.37805264,DEPRECATED,AIM_BOX_GYM_MOM_LID_OAR,AIM-EGO_BOX-EGO_EGO-GYM_EGO-MOM_EGO-LID_EGO-OAR,DEPRECATED,DEPRECATED,0,outer,left
OAR,-98.90318531,78.10511979,-35.01203264,DEPRECATED,AGO_EGO_FLY_GYM_MIX_MOM_TAX_ZIG,AGO-OAR_EGO-OAR_FLY-OAR_GYM-OAR_MIX-OAR_MOM-OAR_OAR-TAX_OAR-ZIG,DEPRECATED,DEPRECATED,0,outer,left
BOA,-3.189085311,107.2747198,37.10817736,DEPRECATED,ADO_REF_WAR_SHY_NAY_HOW,ADO-BOA_BOA-REF_BOA-WAR_BOA-SHY_BOA-NAY_BOA-HOW,DEPRECATED,DEPRECATED,0,outer,mid
NAY,-12.74208531,81.87913979,55.20577736,DEPRECATED,ADO_BOA_FUN_JOB_PLY_REF,ADO-NAY_BOA-NAY_FUN-NAY_JOB-NAY_NAY-PLY_NAY-REF,DEPRECATED,DEPRECATED,0,outer,left
EGG,3.377914689,-143.2638802,26.32480736,DEPRECATED,ALL_DAD_RUG_PIG_FOR_MOO,ALL-EGG_DAD-EGG_EGG-RUG_EGG-PIG_EGG-FOR_EGG-MOO,DEPRECATED,DEPRECATED,0,outer,mid
TAT,-54.99058531,-68.70018021,-67.06360264,DEPRECATED,COP_ELK_ONO_SIR_USE,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE,DEPRECATED,DEPRECATED,1,inner,left
SPY,57.29291469,115.5800198,-34.97468264,DEPRECATED,BIO_ELF_GUN_JOY_LEG_NIX_NOM_OVA_PIE_RAD_RAW_WHO,BIO-SPY_ELF-SPY_GUN-SPY_JOY-SPY_LEG-SPY_NIX-SPY_NOM-SPY_OVA-SPY_PIE-SPY_RAD-SPY_RAW-SPY_SPY-WHO,DEPRECATED,DEPRECATED,0,inner,right
RAD,44.77791469,125.9956198,-11.34018264,DEPRECATED,BIO_ELF_GAL_OVA_PIE_SPY,BIO-RAD_ELF-RAD_GAL-RAD_OVA-RAD_PIE-RAD_RAD-SPY,DEPRECATED,DEPRECATED,0,outer,right
