Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LAW-OLD,14,-0.811181406,-60.86001002,65.73183363,10.22523459,-26.85873602,71.98093063,LAW_OLD,LAW-OLD-14,LAW-14_OLD-14,FOG_IRE_HOT_LAB_TAU_EVE,FOG-LAW-14_IRE-LAW-14_HOT-OLD-13_LAB-OLD-13_OLD-TAU-14_EVE-OLD-14_FOG-OLD-14,FOG-LAW_IRE-LAW_HOT-OLD_LAB-OLD_OLD-TAU_EVE-OLD_FOG-OLD,FOG-14_IRE-14_HOT-13_LAB-13_TAU-14_EVE-14_FOG-14,0,in_to_out,mid
OLD-TAU,14,-21.30092041,-60.86001002,61.36783063,-0.811181406,-46.13249602,71.98093063,OLD_TAU,OLD-TAU-14,OLD-14_TAU-14,HOT_LAB_EVE_FOG_LAW_TRY_LAM,HOT-OLD-13_LAB-OLD-13_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14_TAU-TRY-6_LAM-TAU-12,HOT-OLD_LAB-OLD_EVE-OLD_FOG-OLD_LAW-OLD_TAU-TRY_LAM-TAU,HOT-13_LAB-13_EVE-14_FOG-14_LAW-14_TRY-6_LAM-12,0,in_to_out,mid
FOG-OLD,14,-11.92286041,-60.86001002,71.98093063,-0.811181406,-24.93838202,78.58385063,FOG_OLD,FOG-OLD-14,FOG-14_OLD-14,TRY_RIB_LAW_HOT_LAB_TAU_EVE,FOG-RIB-14_FOG-LAW-14_FOG-TRY-6_HOT-OLD-13_LAB-OLD-13_OLD-TAU-14_EVE-OLD-14_LAW-OLD-14,FOG-TRY_FOG-RIB_FOG-LAW_HOT-OLD_LAB-OLD_OLD-TAU_EVE-OLD_LAW-OLD,RIB-14_LAW-14_TRY-6_HOT-13_LAB-13_TAU-14_EVE-14_LAW-14,0,outer,mid
FOG-RIB,14,-11.92286041,-24.93838202,78.58385063,0.777001594,-2.205857017,78.78930963,FOG_RIB,FOG-RIB-14,FOG-14_RIB-14,TRY_LAW_OLD_ERA_JUG_IRE,FOG-LAW-14_FOG-OLD-14_FOG-TRY-6_ERA-RIB-14_IRE-RIB-14_JUG-RIB-6,FOG-TRY_FOG-LAW_FOG-OLD_ERA-RIB_JUG-RIB_IRE-RIB,LAW-14_OLD-14_TRY-6_ERA-14_IRE-14_JUG-6,0,outer,mid
FOG-LAW,14,-11.92286041,-26.85873602,65.73183363,10.22523459,-24.93838202,78.58385063,FOG_LAW,FOG-LAW-14,FOG-14_LAW-14,TRY_RIB_OLD_IRE,FOG-RIB-14_FOG-OLD-14_FOG-TRY-6_IRE-LAW-14_LAW-OLD-14,FOG-TRY_FOG-RIB_FOG-OLD_IRE-LAW_LAW-OLD,RIB-14_OLD-14_TRY-6_IRE-14_OLD-14,0,in_to_out,mid
ERA-RIB,14,0.777001594,-2.205857017,62.12956063,13.73802359,14.67203198,78.78930963,ERA_RIB,ERA-RIB-14,ERA-14_RIB-14,JUG_FOG_IRE,ERA-JUG-6_FOG-RIB-14_IRE-RIB-14_JUG-RIB-6,ERA-JUG_FOG-RIB_JUG-RIB_IRE-RIB,JUG-6_FOG-14_IRE-14_JUG-6,0,in_to_out,mid
IRE-RIB,14,0.777001594,-3.166204017,68.58317463,36.45626059,-2.205857017,78.78930963,IRE_RIB,IRE-RIB-14,IRE-14_RIB-14,AHI_MAC_EVE_LAW_ERA_FOG_JUG,EVE-IRE-14_IRE-LAW-14_AHI-IRE-7_IRE-MAC-7_ERA-RIB-14_FOG-RIB-14_JUG-RIB-6,AHI-IRE_IRE-MAC_EVE-IRE_IRE-LAW_ERA-RIB_FOG-RIB_JUG-RIB,EVE-14_LAW-14_AHI-7_MAC-7_ERA-14_FOG-14_JUG-6,0,outer,mid
EVE-GIG,14,30.91119559,-41.28148002,51.21567163,41.95506859,-21.83033602,69.58921863,EVE_GIG,EVE-GIG-14,EVE-14_GIG-14,OLD_IRE_FAX_MAC,EVE-OLD-14_EVE-IRE-14_EVE-FAX-14_FAX-GIG-11_GIG-MAC-11,EVE-OLD_EVE-IRE_EVE-FAX_FAX-GIG_GIG-MAC,OLD-14_IRE-14_FAX-11_FAX-11_MAC-11,0,in_to_out,right
IRE-LAW,14,10.22523459,-26.85873602,65.73183363,36.45626059,-3.166204017,68.58317463,IRE_LAW,IRE-LAW-14,IRE-14_LAW-14,AHI_MAC_EVE_RIB_FOG_OLD,EVE-IRE-14_IRE-RIB-14_AHI-IRE-7_IRE-MAC-7_FOG-LAW-14_LAW-OLD-14,AHI-IRE_IRE-MAC_EVE-IRE_IRE-RIB_FOG-LAW_LAW-OLD,EVE-14_RIB-14_AHI-7_MAC-7_FOG-14_OLD-14,0,in_to_out,right
EVE-IRE,14,30.91119559,-41.28148002,68.58317463,36.45626059,-3.166204017,69.58921863,EVE_IRE,EVE-IRE-14,EVE-14_IRE-14,OLD_GIG_FAX_AHI_MAC_LAW_RIB,EVE-OLD-14_EVE-GIG-14_EVE-FAX-14_IRE-LAW-14_IRE-RIB-14_AHI-IRE-7_IRE-MAC-7,EVE-OLD_EVE-GIG_EVE-FAX_AHI-IRE_IRE-MAC_IRE-LAW_IRE-RIB,OLD-14_GIG-14_FAX-11_LAW-14_RIB-14_AHI-7_MAC-7,0,outer,right
