Strip,Node1,Node2
0,COP,WOW
0,WOW,WIG
0,WIG,KEY
0,KEY,FIG
0,FIG,NOR
0,NOR,KIT
0,KIT,ONO
0,ONO,BAR
0,BAR,SIR
0,SIR,FLU
0,FLU,BAR
1,COP,ELK
1,ELK,TAT
1,TAT,ONO
1,ONO,USE
1,USE,NEW
1,NEW,COP
1,COP,USE
1,USE,ELK
1,ELK,SIR
1,SIR,ONO
2,GET,FOR
2,FOR,RUG
2,RUG,ALL
2,ALL,SAD
2,SAD,HIP
2,HIP,GET
2,GET,OAK
2,OAK,FOR
2,FOR,HIP
2,HIP,NEW
2,NEW,GET
2,GET,CAB
3,GET,DAD
3,DAD,FOR
3,FOR,EGG
3,EGG,ALL
3,ALL,PRO
3,PRO,GOO
3,GOO,SAD
3,SAD,WOW
3,WOW,NEW
7,GET,COP
7,COP,TAT
7,TAT,SIR
7,SIR,AGE
7,AGE,KIT
7,KIT,ELK
7,ELK,WIG
7,WIG,USE
7,USE,TAT
8,GET,RUG
8,RUG,SAD
8,SAD,KEY
8,KEY,NOR
8,NOR,WIG
8,WIG,KIT
9,PAW,VAN
9,VAN,BOX
9,BOX,HUG
9,HUG,LID
9,LID,GYM
9,GYM,BOX
9,BOX,EGO
9,EGO,GYM
9,GYM,OAR
9,OAR,ZIG
10,PAW,ZIG
10,ZIG,TAX
10,TAX,WIZ
10,WIZ,GIN
10,GIN,SAY
10,SAY,ZIG
10,ZIG,DAY
10,DAY,SAY
10,SAY,ICE
10,ICE,LAX
10,LAX,ASH
10,ASH,HAM
11,PAW,SAY
11,SAY,WIZ
11,WIZ,ZZZ
11,ZZZ,GIN
11,GIN,ICE
11,ICE,HAM
11,HAM,LAX
11,LAX,MAD
11,MAD,ICE
11,ICE,BED
11,BED,PAW
12,PAW,GYM
12,GYM,HUG
12,HUG,VAN
12,VAN,FLU
12,FLU,HUG
12,HUG,CUP
12,CUP,SIR
12,SIR,HUG
13,CUP,GYM
13,GYM,VAN
13,VAN,CUP
13,CUP,BAR
13,BAR,DOG
13,DOG,AGE
13,AGE,BAR
14,CUP,PAW
14,PAW,DOG
14,DOG,CHI
14,CHI,MAD
14,MAD,BED
14,BED,CHI
14,CHI,KIT
14,KIT,COY
14,COY,MAD
14,MAD,ART
14,ART,KIT
15,SIP,RUM
15,RUM,SHY
15,SHY,BOA
15,BOA,HOW
15,HOW,SHY
15,SHY,INK
15,INK,GUT
15,GUT,RUM
15,RUM,OIL
15,OIL,ALA
16,HEX,MAY
16,MAY,RUM
16,RUM,INK
16,INK,OIL
16,OIL,DRY
16,DRY,REF
16,REF,HOW
17,HEX,SIP
17,SIP,GUT
17,GUT,WAX
17,WAX,MOM
17,MOM,EGO
17,EGO,LID
17,LID,BOX
18,HEX,MIX
18,MIX,AGO
18,AGO,ALA
18,ALA,INK
18,INK,MAY
18,MAY,SIP
18,SIP,WAX
18,WAX,MIX
18,MIX,AIM
18,AIM,LID
18,LID,WAX
19,HEX,WAX
19,WAX,AIM
19,AIM,EGO
19,EGO,OAR
19,OAR,FLY
19,FLY,TAX
19,TAX,AGO
19,AGO,OAR
19,OAR,MIX
19,MIX,MOM
19,MOM,LID
20,HEX,GUT
20,GUT,MIX
20,MIX,ALA
20,ALA,FLY
20,FLY,WIZ
20,WIZ,VOW
20,VOW,FLY
20,FLY,DRY
20,DRY,SHY
21,YAY,TAR
21,TAR,WHY
21,WHY,LUG
21,LUG,TUX
21,TUX,PAY
21,PAY,WIN
21,WIN,BAM
21,BAM,BAH
21,BAH,WIN
21,WIN,HAY
21,HAY,SAW
22,YAY,CAB
22,CAB,OAK
22,OAK,ROB
22,ROB,DAD
22,DAD,EAR
22,EAR,PHI
22,PHI,GEL
22,GEL,MOO
22,MOO,DAD
22,DAD,CAB
22,CAB,ROB
23,YAY,HAY
23,HAY,BAM
23,BAM,YAY
23,YAY,JAR
23,JAR,WIN
23,WIN,ETA
23,ETA,JAR
23,JAR,WHY
23,WHY,KEG
23,KEG,COW
23,COW,ODD
24,YAY,AMP
24,AMP,ROB
24,ROB,SEX
24,SEX,PHI
24,PHI,TAR
24,TAR,WAS
24,WAS,PHI
24,PHI,SAW
24,SAW,SEX
24,SEX,GEL
24,GEL,ROB
25,SEX,CAB
25,CAB,AMP
25,AMP,SAW
25,SAW,WHY
25,WHY,PAY
25,PAY,ETA
25,ETA,LUG
25,LUG,ODD
25,ODD,KEG
25,KEG,WAS
26,SEX,YAY
26,YAY,SAW
26,SAW,JAR
26,JAR,BAM
27,CIS,BOY
27,BOY,FOX
27,FOX,TUX
27,TUX,GAS
27,GAS,FIX
27,FIX,AIR
27,AIR,ODD
27,ODD,GAS
27,GAS,EYE
27,EYE,POP
27,POP,ACE
27,ACE,BRO
28,CIS,OFF
28,OFF,TAG
28,TAG,TUB
28,TUB,SKY
28,SKY,DUI
28,DUI,DIG
28,DIG,HIT
28,HIT,SUN
28,SUN,SKY
28,SKY,FOX
28,FOX,TAG
28,TAG,ORC
29,CIS,ORC
29,ORC,OFF
29,OFF,GUN
29,GUN,DUI
29,DUI,SUN
29,SUN,ACE
30,BAH,CIS
30,CIS,ETA
30,ETA,BAM
30,BAM,CIS
31,BAH,BOY
31,BOY,ORC
31,ORC,ASK
31,ASK,TAG
31,TAG,IVY
31,IVY,SUN
31,SUN,EYE
31,EYE,FIX
31,FIX,POP
32,BAH,ETA
32,ETA,FOX
32,FOX,IVY
32,IVY,GAS
33,NIX,PIE
33,PIE,GAL
33,GAL,WAR
33,WAR,HOW
33,HOW,RUM
33,RUM,PIE
33,PIE,ELF
33,ELF,WAR
34,NIX,WHO
34,WHO,OFF
34,OFF,ASK
34,ASK,GUN
34,GUN,WHO
34,WHO,FRO
34,FRO,RAW
34,RAW,JOY
34,JOY,NOM
34,NOM,BRO
35,NIX,LEG
