Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
0,1,1,inner,left,COP,WOW,-41.00535959657283,-103.32680068105516,-36.81274638890787,0
1,1,1,inner,left,COP,WOW,-41.29960684521828,-103.72753510768275,-36.38450939820758,0
2,1,1,inner,left,COP,WOW,-41.593854093863726,-104.12826953431035,-35.956272407507285,0
3,1,1,inner,left,COP,WOW,-41.888101342509174,-104.52900396093794,-35.52803541680699,0
4,1,1,inner,left,COP,WOW,-42.18234859115462,-104.92973838756554,-35.0997984261067,0
5,1,1,inner,left,COP,WOW,-42.47659583980007,-105.33047281419313,-34.67156143540641,0
6,1,1,inner,left,COP,WOW,-42.77084308844552,-105.73120724082072,-34.24332444470612,0
7,1,1,inner,left,COP,WOW,-43.065090337090965,-106.13194166744832,-33.81508745400583,0
8,1,1,inner,left,COP,WOW,-43.35933758573641,-106.53267609407591,-33.386850463305535,0
9,1,1,inner,left,COP,WOW,-43.65358483438186,-106.9334105207035,-32.95861347260524,0
10,1,1,inner,left,COP,WOW,-43.94783208302731,-107.3341449473311,-32.53037648190495,0
11,1,1,inner,left,COP,WOW,-44.242079331672755,-107.73487937395869,-32.10213949120466,0
12,1,1,inner,left,COP,WOW,-44.5363265803182,-108.13561380058628,-31.67390250050437,0
13,1,1,inner,left,COP,WOW,-44.83057382896365,-108.53634822721388,-31.245665509804077,0
14,1,1,inner,left,COP,WOW,-45.1248210776091,-108.93708265384147,-30.817428519103785,0
15,1,1,inner,left,COP,WOW,-45.419068326254546,-109.33781708046907,-30.389191528403494,0
16,1,1,inner,left,COP,WOW,-45.713315574899994,-109.73855150709666,-29.960954537703202,0
17,1,1,inner,left,COP,WOW,-46.00756282354544,-110.13928593372425,-29.53271754700291,0
18,1,1,inner,left,COP,WOW,-46.30181007219089,-110.54002036035185,-29.10448055630262,0
19,1,1,inner,left,COP,WOW,-46.59605732083634,-110.94075478697944,-28.676243565602327,0
20,1,1,inner,left,COP,WOW,-46.890304569481785,-111.34148921360703,-28.248006574902035,0
21,1,1,inner,left,COP,WOW,-47.18455181812723,-111.74222364023463,-27.819769584201744,0
22,1,1,inner,left,COP,WOW,-47.47879906677268,-112.14295806686222,-27.391532593501452,0
23,1,1,inner,left,COP,WOW,-47.77304631541813,-112.54369249348981,-26.96329560280116,0
24,1,1,inner,left,COP,WOW,-48.067293564063576,-112.94442692011741,-26.53505861210087,0
25,1,1,inner,left,COP,WOW,-48.36154081270902,-113.345161346745,-26.106821621400577,0
26,1,1,inner,left,COP,WOW,-48.65578806135447,-113.7458957733726,-25.678584630700286,0
27,1,1,inner,left,COP,WOW,-48.95003530999992,-114.14663020000019,-25.250347639999994,0
28,1,1,inner,left,COP,WOW,-49.24428255864537,-114.54736462662778,-24.822110649299702,0
29,1,1,inner,left,COP,WOW,-49.538529807290814,-114.94809905325538,-24.39387365859941,0
30,1,1,inner,left,COP,WOW,-49.83277705593626,-115.34883347988297,-23.96563666789912,0
31,1,1,inner,left,COP,WOW,-50.12702430458171,-115.74956790651056,-23.537399677198827,0
32,1,1,inner,left,COP,WOW,-50.42127155322716,-116.15030233313816,-23.109162686498536,0
33,1,1,inner,left,COP,WOW,-50.715518801872605,-116.55103675976575,-22.680925695798244,0
34,1,1,inner,left,COP,WOW,-51.00976605051805,-116.95177118639334,-22.252688705097952,0
35,1,1,inner,left,COP,WOW,-51.3040132991635,-117.35250561302094,-21.82445171439766,0
36,1,1,inner,left,COP,WOW,-51.59826054780895,-117.75324003964853,-21.39621472369737,0
37,1,1,inner,left,COP,WOW,-51.892507796454396,-118.15397446627613,-20.967977732997078,0
38,1,1,inner,left,COP,WOW,-52.186755045099844,-118.55470889290372,-20.539740742296786,0
39,1,1,inner,left,COP,WOW,-52.48100229374529,-118.95544331953131,-20.111503751596494,0
40,1,1,inner,left,COP,WOW,-52.77524954239074,-119.3561777461589,-19.683266760896203,0
41,1,1,inner,left,COP,WOW,-53.06949679103619,-119.7569121727865,-19.25502977019591,0
42,1,1,inner,left,COP,WOW,-53.363744039681634,-120.1576465994141,-18.82679277949562,0
43,1,1,inner,left,COP,WOW,-53.65799128832708,-120.55838102604169,-18.398555788795328,0
44,1,1,inner,left,COP,WOW,-53.95223853697253,-120.95911545266928,-17.970318798095036,0
45,1,1,inner,left,COP,WOW,-54.24648578561798,-121.35984987929687,-17.542081807394744,0
46,1,1,inner,left,COP,WOW,-54.540733034263425,-121.76058430592447,-17.113844816694453,0
47,1,1,inner,left,COP,WOW,-54.83498028290887,-122.16131873255206,-16.68560782599416,0
48,1,1,inner,left,COP,WOW,-55.12922753155432,-122.56205315917965,-16.25737083529387,0
49,1,1,inner,left,COP,WOW,-55.42347478019977,-122.96278758580725,-15.829133844593578,0
50,1,1,inner,left,COP,WOW,-55.717722028845216,-123.36352201243484,-15.400896853893286,0
51,1,1,inner,left,COP,WOW,-56.011969277490664,-123.76425643906244,-14.972659863192995,0
