Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
100-110,1,0.0,0.0,0.0,0.0,1.183333333,0.0,100_110,DEPRECATED,DEPRECATED,110_120_130_140_150_160_100_112_111_113,DEPRECATED,100-110_100-120_100-130_100-140_100-150_100-160_100-110_110-112_110-111_110-113,DEPRECATED,0,inner,mid
110-112,1,0.0,1.183333333,0.0,0.0,2.0,0.0,110_112,DEPRECATED,DEPRECATED,100_112_111_113_110,DEPRECATED,100-110_110-112_110-111_110-113_110-112,DEPRECATED,0,inner,mid
110-111,1,-0.587785017,1.183333333,0.0,0.0,2.0,0.0,110_111,DEPRECATED,DEPRECATED,110_100_112_111_113,DEPRECATED,110-111_100-110_110-112_110-111_110-113,DEPRECATED,0,inner,mid
110-113,1,0.0,1.183333333,0.0,0.587785017,2.0,0.0,110_113,DEPRECATED,DEPRECATED,100_112_111_113_110,DEPRECATED,100-110_110-112_110-111_110-113_110-113,DEPRECATED,0,inner,mid
100-120,1,-1.024796727,0.0,0.0,0.0,0.591666667,0.0,100_120,DEPRECATED,DEPRECATED,100_122_121_123_110_120_130_140_150_160,DEPRECATED,100-120_120-122_120-121_120-123_100-110_100-120_100-130_100-140_100-150_100-160,DEPRECATED,0,inner,mid
120-122,1,-1.732050807,0.591666667,0.0,-1.024796727,1.0,0.0,120_122,DEPRECATED,DEPRECATED,100_122_121_123_120,DEPRECATED,100-120_120-122_120-121_120-123_120-122,DEPRECATED,0,inner,mid
120-121,1,-2.025943316,0.490963243,0.0,-1.024796727,0.591666667,0.0,120_121,DEPRECATED,DEPRECATED,100_122_121_123_120,DEPRECATED,100-120_120-122_120-121_120-123_120-121,DEPRECATED,0,inner,mid
120-123,1,-1.438158299,0.490963243,0.0,-1.024796727,0.591666667,0.0,120_123,DEPRECATED,DEPRECATED,100_122_121_123_120,DEPRECATED,100-120_120-122_120-121_120-123_120-123,DEPRECATED,0,inner,mid
100-130,1,-1.024796727,-0.591666667,0.0,0.0,0.0,0.0,100_130,DEPRECATED,DEPRECATED,110_120_130_140_150_160_100_132_131_133,DEPRECATED,100-110_100-120_100-130_100-140_100-150_100-160_100-130_130-132_130-131_130-133,DEPRECATED,0,inner,mid
130-132,1,-1.732050807,-1.0,0.0,-1.024796727,-0.591666667,0.0,130_132,DEPRECATED,DEPRECATED,130_100_132_131_133,DEPRECATED,130-132_100-130_130-132_130-131_130-133,DEPRECATED,0,inner,mid
