Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
151,2.025943316,-0.490963243,0.0,DEPRECATED,150,150-151,DEPRECATED,DEPRECATED,0,inner,mid
150,1.024796727,-0.591666667,0.0,DEPRECATED,100_152_151_153,100-150_150-152_150-151_150-153,DEPRECATED,DEPRECATED,0,inner,mid
153,1.438158299,-0.490963243,0.0,DEPRECATED,150,150-153,DEPRECATED,DEPRECATED,0,inner,mid
152,1.732050807,-1.0,0.0,DEPRECATED,150,150-152,DEPRECATED,DEPRECATED,0,inner,mid
133,-2.025943316,-1.509036757,0.0,DEPRECATED,130,130-133,DEPRECATED,DEPRECATED,0,inner,mid
132,-1.732050807,-1.0,0.0,DEPRECATED,130,130-132,DEPRECATED,DEPRECATED,0,inner,mid
131,-1.438158299,-1.509036757,0.0,DEPRECATED,130,130-131,DEPRECATED,DEPRECATED,0,inner,mid
130,-1.024796727,-0.591666667,0.0,DEPRECATED,100_132_131_133,100-130_130-132_130-131_130-133,DEPRECATED,DEPRECATED,0,inner,mid
111,-0.587785017,2.0,0.0,DEPRECATED,110,110-111,DEPRECATED,DEPRECATED,0,inner,mid
110,0.0,1.183333333,0.0,DEPRECATED,100_112_111_113,100-110_110-112_110-111_110-113,DEPRECATED,DEPRECATED,0,inner,mid
113,0.587785017,2.0,0.0,DEPRECATED,110,110-113,DEPRECATED,DEPRECATED,0,inner,mid
112,0.0,2.0,0.0,DEPRECATED,110,110-112,DEPRECATED,DEPRECATED,0,inner,mid
142,-2.4503e-16,-2.0,0.0,DEPRECATED,140,140-142,DEPRECATED,DEPRECATED,0,inner,mid
143,-0.587785017,-2.0,0.0,DEPRECATED,140,140-143,DEPRECATED,DEPRECATED,0,inner,mid
140,-1.44976e-16,-1.183333333,0.0,DEPRECATED,100_142_141_143,100-140_140-142_140-141_140-143,DEPRECATED,DEPRECATED,0,inner,mid
141,0.587785017,-2.0,0.0,DEPRECATED,140,140-141,DEPRECATED,DEPRECATED,0,inner,mid
120,-1.024796727,0.591666667,0.0,DEPRECATED,100_122_121_123,100-120_120-122_120-121_120-123,DEPRECATED,DEPRECATED,0,inner,mid
121,-2.025943316,0.490963243,0.0,DEPRECATED,120,120-121,DEPRECATED,DEPRECATED,0,inner,mid
122,-1.732050807,1.0,0.0,DEPRECATED,120,120-122,DEPRECATED,DEPRECATED,0,inner,mid
123,-1.438158299,0.490963243,0.0,DEPRECATED,120,120-123,DEPRECATED,DEPRECATED,0,inner,mid
100,0.0,0.0,0.0,DEPRECATED,110_120_130_140_150_160,100-110_100-120_100-130_100-140_100-150_100-160,DEPRECATED,DEPRECATED,0,inner,mid
160,1.024796727,0.591666667,0.0,DEPRECATED,100_162_161_163,100-160_160-162_160-161_160-163,DEPRECATED,DEPRECATED,0,inner,mid
161,1.438158299,1.509036757,0.0,DEPRECATED,160,160-161,DEPRECATED,DEPRECATED,0,inner,mid
162,1.732050807,1.0,0.0,DEPRECATED,160,160-162,DEPRECATED,DEPRECATED,0,inner,mid
163,2.025943316,1.509036757,0.0,DEPRECATED,160,160-163,DEPRECATED,DEPRECATED,0,inner,mid
