Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LAW-OLD,14,30.4079,-2.88558,74.5791,67.204,9.60728,83.3286,LAW_OLD,LAW-OLD-14,LAW-14_OLD-14,ERA_EVE_FOG_GIG_IRE_RIB_LIE_TAU,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LIE-OLD-14_OLD-TAU-14_EVE-OLD-14_FOG-OLD-14,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LIE-OLD_OLD-TAU_EVE-OLD_FOG-OLD,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_LIE-14_TAU-14_EVE-14_FOG-14,0,in_to_out,right
OLD-TAU,14,50.9913,-24.3194,68.645,67.204,-2.88558,83.3286,OLD_TAU,OLD-TAU-14,OLD-14_TAU-14,LIE_EVE_FOG_LAW,LIE-OLD-14_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14_FOG-TAU-14_LIE-TAU-14_LAW-TAU-14,LIE-OLD_EVE-OLD_FOG-OLD_LAW-OLD_FOG-TAU_LIE-TAU_LAW-TAU,LIE-14_EVE-14_FOG-14_LAW-14_FOG-14_LIE-14_LAW-14,0,in_to_out,right
LIE-TAU,14,50.9913,-24.3194,61.3543,75.8476,22.7277,68.645,LIE_TAU,LIE-TAU-14,LIE-14_TAU-14,GIG_OLD_EVE_LAW_FOG,GIG-LIE-14_LIE-OLD-14_EVE-LIE-14_LAW-LIE-14_FOG-TAU-14_OLD-TAU-14_LAW-TAU-14,GIG-LIE_LIE-OLD_EVE-LIE_LAW-LIE_FOG-TAU_OLD-TAU_LAW-TAU,GIG-14_OLD-14_EVE-14_LAW-14_FOG-14_OLD-14_LAW-14,0,inner,right
LAW-TAU,14,30.4079,-24.3194,68.645,50.9913,9.60728,74.5791,LAW_TAU,LAW-TAU-14,LAW-14_TAU-14,ERA_EVE_FOG_GIG_IRE_RIB_LIE_OLD,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-OLD-14_FOG-TAU-14_LIE-TAU-14_OLD-TAU-14,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-OLD_FOG-TAU_LIE-TAU_OLD-TAU,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_OLD-14_FOG-14_LIE-14_OLD-14,0,inner,right
FOG-TAU,14,27.423,-24.3194,68.645,50.9913,-16.0745,90.4769,FOG_TAU,FOG-TAU-14,FOG-14_TAU-14,RIB_LAW_OLD_LIE,FOG-RIB-14_FOG-LAW-14_FOG-OLD-14_LIE-TAU-14_OLD-TAU-14_LAW-TAU-14,FOG-RIB_FOG-LAW_FOG-OLD_LIE-TAU_OLD-TAU_LAW-TAU,RIB-14_LAW-14_OLD-14_LIE-14_OLD-14_LAW-14,0,in_to_out,right
FOG-OLD,14,27.423,-16.0745,83.3286,67.204,-2.88558,90.4769,FOG_OLD,FOG-OLD-14,FOG-14_OLD-14,TAU_RIB_LAW_LIE_EVE,FOG-TAU-14_FOG-RIB-14_FOG-LAW-14_LIE-OLD-14_OLD-TAU-14_EVE-OLD-14_LAW-OLD-14,FOG-TAU_FOG-RIB_FOG-LAW_LIE-OLD_OLD-TAU_EVE-OLD_LAW-OLD,TAU-14_RIB-14_LAW-14_LIE-14_TAU-14_EVE-14_LAW-14,0,outer,right
LAW-RIB,14,2.4488,-0.528874,74.5791,30.4079,9.60728,90.7215,LAW_RIB,LAW-RIB-14,LAW-14_RIB-14,ERA_EVE_FOG_GIG_IRE_LIE_TAU_OLD,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14_ERA-RIB-14_FOG-RIB-14_IRE-RIB-14,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-LIE_LAW-TAU_LAW-OLD_ERA-RIB_FOG-RIB_IRE-RIB,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_LIE-14_TAU-14_OLD-14_ERA-14_FOG-14_IRE-14,0,in_to_out,mid
FOG-RIB,14,2.4488,-16.0745,90.4769,27.423,-0.528874,90.7215,FOG_RIB,FOG-RIB-14,FOG-14_RIB-14,TAU_LAW_OLD_ERA_IRE,FOG-TAU-14_FOG-LAW-14_FOG-OLD-14_ERA-RIB-14_IRE-RIB-14_LAW-RIB-14,FOG-TAU_FOG-LAW_FOG-OLD_ERA-RIB_IRE-RIB_LAW-RIB,TAU-14_LAW-14_OLD-14_ERA-14_IRE-14_LAW-14,0,outer,mid
FOG-LAW,14,27.423,-16.0745,74.5791,30.4079,9.60728,90.4769,FOG_LAW,FOG-LAW-14,FOG-14_LAW-14,TAU_RIB_OLD_ERA_EVE_GIG_IRE_LIE,FOG-TAU-14_FOG-RIB-14_FOG-OLD-14_ERA-LAW-14_EVE-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14,FOG-TAU_FOG-RIB_FOG-OLD_ERA-LAW_EVE-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD,TAU-14_RIB-14_OLD-14_ERA-14_EVE-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14,0,in_to_out,right
ERA-LAW,14,-14.5776,9.60728,68.9337,30.4079,13.293,74.5791,ERA_LAW,ERA-LAW-14,ERA-14_LAW-14,RIB_IRE_GIG_EVE_FOG_LIE_TAU_OLD,ERA-RIB-14_ERA-IRE-14_ERA-GIG-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14,ERA-RIB_ERA-IRE_ERA-GIG_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD,RIB-14_IRE-14_GIG-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14,0,inner,mid
