Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LID,-59.9099,-75.3901,-104.098,LID-3,AIM_EGO_GYM_MOM_WAX_BOX_HUG,AIM-LID_EGO-LID_GYM-LID_LID-MOM_LID-WAX_BOX-LID_HUG-LID,AIM-LID-3_EGO-LID-3_GYM-LID-3_LID-MOM-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_GYM-3_MOM-3_WAX-3_BOX-4_HUG-4,1,inner,left
LIE,75.8476,22.7277,61.3543,LIE-13_LIE-11_LIE-14,FAX_HOT,FAX-LIE_HOT-LIE,FAX-LIE-11_HOT-LIE-13,FAX-11_HOT-13,0,inner,right
SIP,-99.5378,-27.0261,-54.1381,SIP-3,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,GUT-SIP-3_HEX-SIP-3_MAY-SIP-3_RUM-SIP-3_SIP-WAX-3,GUT-3_HEX-3_MAY-3_RUM-3_WAX-3,1,inner,left
BOY,-6.29871,122.532,-60.5667,BOY-2,BAH_FOX_ETA_CIS_ORC,BAH-BOY_BOY-FOX_BOY-ETA_BOY-CIS_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-ETA-2_BOY-CIS-2_BOY-ORC-2,BAH-2_FOX-2_ETA-2_CIS-2_ORC-2,0,outer,left
PAY,45.5046,114.51,-24.8963,PAY-8,ETA_JAR_TUX_WHY_WIN,ETA-PAY_JAR-PAY_PAY-TUX_PAY-WHY_PAY-WIN,ETA-PAY-8_JAR-PAY-8_PAY-TUX-8_PAY-WHY-8_PAY-WIN-8,ETA-8_JAR-8_TUX-8_WHY-8_WIN-8,0,outer,right
AGE,44.4051,-94.5726,-41.3262,AGE-9,KIT_BAR_SIR,AGE-KIT_AGE-BAR_AGE-SIR,AGE-KIT-9_AGE-BAR-9_AGE-SIR-9,KIT-9_BAR-9_SIR-9,0,inner,right
OAK,151.392,22.9832,-29.4031,OAK-10,CAB_DAD_FOR_GET_ROB,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_DAD-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_DAD-10_FOR-10_GET-10_ROB-10,1,outer,right
EON,-52.1655,63.755,60.6556,EON-7,AHI_BRO_WET_POP_TOY,AHI-EON_BRO-EON_EON-WET_EON-POP_EON-TOY,AHI-EON-7_BRO-EON-7_EON-WET-7_EON-POP-7_EON-TOY-7,AHI-7_BRO-7_WET-7_POP-7_TOY-7,0,outer,left
MIX,-114.794,-83.7006,-63.1044,MIX-3,AIM_ALA_HEX_MOM_OAR_WAX,AIM-MIX_ALA-MIX_HEX-MIX_MIX-MOM_MIX-OAR_MIX-WAX,AIM-MIX-3_ALA-MIX-3_HEX-MIX-3_MIX-MOM-3_MIX-OAR-3_MIX-WAX-3,AIM-3_ALA-3_HEX-3_MOM-3_OAR-3_WAX-3,0,outer,left
EGO,-70.4413,-103.208,-85.5954,EGO-3,AIM_MOM_LID_OAR_BOX,AIM-EGO_EGO-MOM_EGO-LID_EGO-OAR_BOX-EGO,AIM-EGO-3_EGO-MOM-3_EGO-LID-3_EGO-OAR-3_BOX-EGO-4,AIM-3_MOM-3_LID-3_OAR-3_BOX-4,0,outer,left
OAR,-83.8298,-107.378,-43.9503,OAR-3,AGO_EGO_FLY_GYM_MIX_ZIG,AGO-OAR_EGO-OAR_FLY-OAR_GYM-OAR_MIX-OAR_OAR-ZIG,AGO-OAR-3_EGO-OAR-3_FLY-OAR-3_GYM-OAR-3_MIX-OAR-3_OAR-ZIG-3,AGO-3_EGO-3_FLY-3_GYM-3_MIX-3_ZIG-4,0,outer,left
