jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
AGO,ALA,"AGO,ALA",ago,tip,"ago,tip",25.9,25.9,431,1
LAM,LAB,"LAM,LAB",ram,mod,"ram,mod",28.1,28.1,185,
SKY,FOX,"SKY,FOX",hew,max,"hew,max",28.2,28.2,565,
BRO,HIT,"BRO,HIT",rag,hit,"rag,hit",28.3,28.3,324,
ROB,OAK,"ROB,OAK",din,her,"din,her",28.3,28.3,630,
INK,ALA,"INK,ALA",pub,tip,"pub,tip",28.4,28.4,488,
PRO,ALL,"PRO,ALL",pro,all,"pro,all",28.5,28.5,300,
WAS,PHI,"WAS,PHI",hid,quo,"hid,quo",28.5,28.5,465,
DAY,SAY,"DAY,SAY",day,top,"day,top",28.6,28.6,441,
MAC,POP,"MAC,POP",mac,pop,"mac,pop",28.7,28.7,240,
TUB,ASK,"TUB,ASK",tub,ask,"tub,ask",28.8,28.8,566,
FOG,TRY,"FOG,TRY",mat,try,"mat,try",29,29,65,
JOB,NAY,"JOB,NAY",pug,asp,"pug,asp",29,29,77,
GAL,RAD,"GAL,RAD",mag,rad,"mag,rad",29,29,384,
DAY,PAW,"DAY,PAW",day,put,"day,put",29.1,29.1,440,
JAR,HAY,"JAR,HAY",aft,hay,"aft,hay",29.1,29.1,610,1
EVE,FAX,"EVE,FAX",had,the,"had,the",29.2,29.2,131,
PIE,FEW,"PIE,FEW",pie,has,"pie,has",29.2,29.2,380,
WAS,KEG,"WAS,KEG",hid,mob,"hid,mob",29.2,29.2,464,
MOP,FAN,"MOP,FAN",ass,tow,"ass,tow",29.3,29.3,105,
DUI,HIT,"DUI,HIT",pix,hit,"pix,hit",29.3,29.3,392,
RIB,FOG,"RIB,FOG",dim,mat,"dim,mat",29.5,29.5,31,
ACT,TRY,"ACT,TRY",act,try,"act,try",29.5,29.5,85,1
HOW,GAL,"HOW,GAL",cry,mag,"cry,mag",29.6,29.6,228,
ACT,ASH,"ACT,ASH",act,mid,"act,mid",29.6,29.6,83,1
HOW,WAR,"HOW,WAR",cry,pow,"cry,pow",29.6,29.6,224,
EYE,GAS,"EYE,GAS",pun,ape,"pun,ape",29.6,29.6,415,
AIM,EGO,"AIM,EGO",aim,rap,"aim,rap",29.6,29.6,684,
BAH,WIN,"BAH,WIN",pot,dud,"pot,dud",29.6,29.6,689,
COP,USE,"COP,USE",cop,toe,"cop,toe",29.6,29.6,632,
CHI,DOG,"CHI,DOG",ran,dog,"ran,dog",29.7,29.7,532,
LAW,EVE,"LAW,EVE",cot,had,"cot,had",29.8,29.8,9,
LAB,YAK,"LAB,YAK",mod,til,"mod,til",29.8,29.8,187,
SAD,KEY,"SAD,KEY",did,man,"did,man",29.8,29.8,499,
DAY,ZIG,"DAY,ZIG",day,arc,"day,arc",29.8,29.8,439,
BOX,EGO,"BOX,EGO",mit,rap,"mit,rap",29.8,29.8,685,
WAR,GAL,"WAR,GAL",pow,mag,"pow,mag",29.9,29.9,276,
LAM,ASH,"LAM,ASH",ram,mid,"ram,mid",30,30,186,
NIL,JOB,"NIL,JOB",tea,pug,"tea,pug",30,30,40,
COY,ART,"COY,ART",coy,art,"coy,art",30,30,344,
AIR,ODD,"AIR,ODD",air,dug,"air,dug",30.1,30.1,266,
WAR,DUB,"WAR,DUB",pow,dub,"pow,dub",30.1,30.1,277,
EYE,SUN,"EYE,SUN",pun,tom,"pun,tom",30.2,30.2,414,
OFF,ASK,"OFF,ASK",add,ask,"add,ask",30.2,30.2,650,1
NIL,TOY,"NIL,TOY",tea,toy,"tea,toy",30.3,30.3,38,
DUB,ARM,"DUB,ARM",dub,arm,"dub,arm",30.3,30.3,278,
DUI,TUB,"DUI,TUB",pix,tub,"pix,tub",30.3,30.3,390,
JOY,DIG,"JOY,DIG",and,dig,"and,dig",30.3,30.3,521,
ZAP,PRO,"ZAP,PRO",cue,pro,"cue,pro",30.4,30.4,169,
SUN,SKY,"SUN,SKY",tom,hew,"tom,hew",30.5,30.5,416,
DUI,SKY,"DUI,SKY",pix,hew,"pix,hew",30.5,30.5,389,
JAR,WIN,"JAR,WIN",aft,dud,"aft,dud",30.5,30.5,609,1
TUX,PAY,"TUX,PAY",dip,pup,"dip,pup",30.5,30.5,604,
LAW,FOG,"LAW,FOG",cot,mat,"cot,mat",30.6,30.6,11,
PIE,OVA,"PIE,OVA",pie,met,"pie,met",30.6,30.6,382,
TAG,ORC,"TAG,ORC",tag,ale,"tag,ale",30.6,30.6,562,
