jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
ELF,BIO,"ELF,BIO",tan,hem,"tan,hem",32 1/8,32.125,275,"DUB,WAR"
GUN,JOY,"GUN,JOY",gun,and,"gun,and",32 1/8,32.125,517,
RAW,FRO,"RAW,FRO",too,apt,"too,apt",32 1/4,32.25,646,
FIX,MAC,"FIX,MAC",pet,mac,"pet,mac",32 1/4,32.25,238,
MOM,AIM,"MOM,AIM",pen,aim,"pen,aim",32 1/4,32.25,553,
ELF,ARM,"ELF,ARM",tan,arm,"tan,arm",32 3/8,32.375,271,
RUG,SAD,"RUG,SAD",log,did,"log,did",32 3/8,32.375,398,
KEG,WHY,"KEG,WHY",mob,hoe,"mob,hoe",32 3/8,32.375,466,
TRY,DUH,"TRY,DUH",try,duh,"try,duh",32 3/8,32.375,86,
CAB,ROB,"CAB,ROB",pin,din,"pin,din",32 3/8,32.375,628,
INK,MAY,"INK,MAY",pub,may,"pub,may",32 5/8,32.625,487,
CUP,VAN,"CUP,VAN",cup,his,"cup,his",32 3/4,32.75,586,
BED,ICE,"BED,ICE",lip,dew,"lip,dew",32 3/4,32.75,372,
MOM,OAR,"MOM,OAR",pen,hey,"pen,hey",32 3/4,32.75,554,
SPY,RAW,"SPY,RAW",lot,too,"lot,too",32 7/8,32.875,473,
NAN,HAM,"NAN,HAM",tad,ham,"tad,ham",32 7/8,32.875,103,
IVY,TUX,"IVY,TUX",guy,dip,"guy,dip",32 7/8,32.875,411,
PIE,RAD,"PIE,RAD",pie,rad,"pie,rad",32 7/8,32.875,379,
ETA,BAH,"ETA,BAH",git,pot,"git,pot",32 7/8,32.875,601,
SEX,GEL,"SEX,GEL",loo,men,"loo,men",32 7/8,32.875,507,
GUT,INK,"GUT,INK",gut,pub,"gut,pub",33,33,486,
CIS,BAH,"CIS,BAH",pic,pot,"pic,pot",33,33,665,
TAU,FOG,"TAU,FOG",aid,mat,"aid,mat",33,33,61,
GYM,EGO,"GYM,EGO",gym,rap,"gym,rap",33 1/8,33.125,574,
BRO,ARM,"BRO,ARM",rag,arm,"rag,arm",33 1/8,33.125,323,
TAU,LAM,"TAU,LAM",aid,ram,"aid,ram",33 1/8,33.125,63,
RUG,EGG,"RUG,EGG",log,rat,"log,rat",33 1/4,33.25,401,
BIO,JOY,"BIO,JOY",hem,and,"hem,and",33 1/4,33.25,477,
