Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
1,11,11,AIR,COW,70.9082409623386,-32.944546429703614,43.389077211539956
2,11,11,AIR,COW,70.6853613346772,-33.45755483940723,43.04599779307991
3,11,11,AIR,COW,70.4624817070158,-33.970563249110846,42.70291837461987
4,11,11,AIR,COW,70.2396020793544,-34.48357165881446,42.35983895615983
5,11,11,AIR,COW,70.016722451693,-34.99658006851808,42.016759537699784
6,11,11,AIR,COW,69.7938428240316,-35.509588478221694,41.67368011923974
7,11,11,AIR,COW,69.5709631963702,-36.02259688792531,41.3306007007797
8,11,11,AIR,COW,69.3480835687088,-36.535605297628926,40.987521282319655
9,11,11,AIR,COW,69.1252039410474,-37.04861370733254,40.64444186385961
10,11,11,AIR,COW,68.902324313386,-37.56162211703616,40.30136244539957
11,11,11,AIR,COW,68.6794446857246,-38.074630526739774,39.958283026939526
12,11,11,AIR,COW,68.4565650580632,-38.58763893644339,39.61520360847948
13,11,11,AIR,COW,68.2336854304018,-39.10064734614701,39.27212419001944
14,11,11,AIR,COW,68.0108058027404,-39.61365575585062,38.9290447715594
15,11,11,AIR,COW,67.78792617507901,-40.12666416555424,38.585965353099354
16,11,11,AIR,COW,67.56504654741761,-40.639672575257855,38.24288593463931
17,11,11,AIR,COW,67.34216691975621,-41.15268098496147,37.89980651617927
18,11,11,AIR,COW,67.11928729209481,-41.66568939466509,37.556727097719225
19,11,11,AIR,COW,66.89640766443341,-42.1786978043687,37.21364767925918
20,11,11,AIR,COW,66.67352803677201,-42.69170621407232,36.87056826079914
21,11,11,AIR,COW,66.45064840911061,-43.204714623775935,36.527488842339096
22,11,11,AIR,COW,66.22776878144921,-43.71772303347955,36.18440942387905
23,11,11,AIR,COW,66.00488915378781,-44.23073144318317,35.84133000541901
24,11,11,AIR,COW,65.78200952612642,-44.74373985288678,35.49825058695897
25,11,11,AIR,COW,65.55912989846502,-45.2567482625904,35.155171168498924
26,11,11,AIR,COW,65.33625027080362,-45.769756672294015,34.81209175003888
27,11,11,AIR,COW,65.11337064314222,-46.28276508199763,34.46901233157884
28,11,11,AIR,COW,64.89049101548082,-46.79577349170125,34.125932913118795
29,11,11,AIR,COW,64.66761138781942,-47.30878190140486,33.78285349465875
